Subject	Date	Version	Block	BlockCondition	Problem	ACC	CorrRT	AllRT
37065	3/16/2017	RavenStimv2	2	StimIPG	Logic	0.6666666667	90258.00	95936.00
37066	4/10/2017	RavenStimv2	2	StimIPG	Logic	0	0.00	51793.33
37067	4/12/2017	RavenStimv4	2	ShamIPG	Logic	0.3333333333	29220.00	58784.67
37068	4/14/2017	RavenStimv4	2	ShamIPG	Logic	1	20360.67	20360.67
37041	10/12/2016	RavenStimv2	3	StimIPG	Logic	1	23009.67	23009.67
37042	10/19/2016	RavenStimv2	3	ShamIPG	Logic	1	17467.00	17467.00
37043	10/21/2016	RavenStimv2	3	StimMFG	Logic	1	26046.33	26046.33
37045	10/27/2016	RavenStimv1	3	StimIPG	Logic	0.6666666667	27492.00	25537.67
37047	11/2/2016	RavenStimv1	3	StimMFG	Logic	1	11015.33	11015.33
37048	11/3/2016	RavenStimv1	3	ShamMFG	Logic	1	9850.67	9850.67
37049	11/4/2016	RavenStimv3	3	StimIPG	Logic	0	0.00	12480.67
37050	11/9/2016	RavenStimv3	3	ShamIPG	Logic	0.6666666667	17551.00	25440.33
37052	11/23/2016	RavenStimv3	3	StimMFG	Logic	1	15281.67	15281.67
37053	11/30/2016	RavenStimv3	3	ShamMFG	Logic	1	28427.33	28427.33
37054	12/1/2016	RavenStimv4	3	StimIPG	Logic	0.6666666667	14141.00	26939.67
37056	1/17/2017	RavenStimv4	3	ShamIPG	Logic	1	22510.67	22510.67
37057	1/25/2017	RavenStimv4	3	StimMFG	Logic	0.6666666667	22679.50	26095.33
37058	1/31/2017	RavenStimv4	3	ShamMFG	Logic	0.6666666667	12353.50	19249.00
37059	2/3/2017	RavenStimv1	3	ShamIPG	Logic	1	34409.00	34409.00
37061	2/10/2017	RavenStimv2	3	ShamMFG	Logic	0	0.00	24024.33
37063	3/6/2017	RavenStimv3	3	StimIPG	Logic	1	29964.00	29964.00
37064	3/13/2017	RavenStimv3	3	ShamIPG	Logic	1	27095.67	27095.67
37065	3/16/2017	RavenStimv2	3	ShamMFG	Logic	0.3333333333	49856.00	68496.00
37066	4/10/2017	RavenStimv2	3	ShamMFG	Logic	0.6666666667	25567.00	22357.00
37067	4/12/2017	RavenStimv4	3	StimMFG	Logic	1	36955.00	36955.00
37068	4/14/2017	RavenStimv4	3	StimMFG	Logic	1	23158.67	23158.67
37041	10/12/2016	RavenStimv2	4	ShamIPG	Logic	0.6666666667	11324.50	21631.00
37042	10/19/2016	RavenStimv2	4	StimIPG	Logic	1	14928.67	14928.67
37043	10/21/2016	RavenStimv2	4	ShamMFG	Logic	0.6666666667	36895.50	28246.00
37045	10/27/2016	RavenStimv1	4	ShamIPG	Logic	0.3333333333	24553.00	43035.33
37047	11/2/2016	RavenStimv1	4	ShamMFG	Logic	0.6666666667	11320.50	14494.00
37048	11/3/2016	RavenStimv1	4	StimMFG	Logic	0.3333333333	8422.00	18458.00
37049	11/4/2016	RavenStimv3	4	ShamIPG	Logic	0	0.00	25853.00
37050	11/9/2016	RavenStimv3	4	StimIPG	Logic	0	0.00	44780.67
37052	11/23/2016	RavenStimv3	4	ShamMFG	Logic	0.6666666667	17855.50	21354.33
37053	11/30/2016	RavenStimv3	4	StimMFG	Logic	0.3333333333	23946.00	32223.67
37054	12/1/2016	RavenStimv4	4	ShamIPG	Logic	0.6666666667	35316.00	31224.67
37056	1/17/2017	RavenStimv4	4	StimIPG	Logic	1	67965.67	67965.67
37057	1/25/2017	RavenStimv4	4	ShamMFG	Logic	0.3333333333	39088.00	28802.33
37058	1/31/2017	RavenStimv4	4	StimMFG	Logic	0.3333333333	32543.00	36722.67
37059	2/3/2017	RavenStimv1	4	StimIPG	Logic	0.6666666667	41550.00	35786.33
37061	2/10/2017	RavenStimv2	4	StimMFG	Logic	0.6666666667	22158.50	29233.00
37063	3/6/2017	RavenStimv3	4	ShamIPG	Logic	0.6666666667	45072.00	47380.00
37064	3/13/2017	RavenStimv3	4	StimIPG	Logic	0.6666666667	35248.50	26993.00
37065	3/16/2017	RavenStimv2	4	StimMFG	Logic	0.6666666667	41872.50	66069.33
37066	4/10/2017	RavenStimv2	4	StimMFG	Logic	0	0.00	18816.00
37067	4/12/2017	RavenStimv4	4	ShamMFG	Logic	1	32021.33	32021.33
37068	4/14/2017	RavenStimv4	4	ShamMFG	Logic	0.6666666667	37424.50	30505.67

