Subject	Date	Version	Block	BlockCondition	Problem	ACC	CorrRT	AllRT
37065	3/16/2017	RavenStimv2	3	ShamMFG	Rel1	1	18593.00	18593.00
37066	4/10/2017	RavenStimv2	3	ShamMFG	Rel1	1	10570.33	10570.33
37067	4/12/2017	RavenStimv4	3	StimMFG	Rel1	1	11672.33	11672.33
37068	4/14/2017	RavenStimv4	3	StimMFG	Rel1	1	5813.67	5813.67
37041	10/12/2016	RavenStimv2	4	ShamIPG	Rel1	0.6666666667	7920.50	15284.00
37042	10/19/2016	RavenStimv2	4	StimIPG	Rel1	1	10424.33	10424.33
37043	10/21/2016	RavenStimv2	4	ShamMFG	Rel1	1	5979.33	5979.33
37045	10/27/2016	RavenStimv1	4	ShamIPG	Rel1	1	9701.00	9701.00
37047	11/2/2016	RavenStimv1	4	ShamMFG	Rel1	1	5271.00	5271.00
37048	11/3/2016	RavenStimv1	4	StimMFG	Rel1	0.6666666667	4846.00	6585.00
37049	11/4/2016	RavenStimv3	4	ShamIPG	Rel1	0.3333333333	7664.00	11824.33
37050	11/9/2016	RavenStimv3	4	StimIPG	Rel1	1	5525.33	5525.33
37052	11/23/2016	RavenStimv3	4	ShamMFG	Rel1	1	6001.67	6001.67
37053	11/30/2016	RavenStimv3	4	StimMFG	Rel1	1	5182.33	5182.33
37054	12/1/2016	RavenStimv4	4	ShamIPG	Rel1	1	8104.67	8104.67
37056	1/17/2017	RavenStimv4	4	StimIPG	Rel1	0.6666666667	8907.00	8126.00
37057	1/25/2017	RavenStimv4	4	ShamMFG	Rel1	0.6666666667	9924.00	9335.67
37058	1/31/2017	RavenStimv4	4	StimMFG	Rel1	1	4244.67	4244.67
37059	2/3/2017	RavenStimv1	4	StimIPG	Rel1	1	8081.00	8081.00
37061	2/10/2017	RavenStimv2	4	StimMFG	Rel1	0.6666666667	4544.00	4484.67
37063	3/6/2017	RavenStimv3	4	ShamIPG	Rel1	1	11375.33	11375.33
37064	3/13/2017	RavenStimv3	4	StimIPG	Rel1	1	8325.33	8325.33
37065	3/16/2017	RavenStimv2	4	StimMFG	Rel1	1	7053.67	7053.67
37066	4/10/2017	RavenStimv2	4	StimMFG	Rel1	1	11562.67	11562.67
37067	4/12/2017	RavenStimv4	4	ShamMFG	Rel1	1	9090.33	9090.33
37068	4/14/2017	RavenStimv4	4	ShamMFG	Rel1	1	4780.00	4780.00
37041	10/12/2016	RavenStimv2	1	StimMFG	Rel2	1	10936.00	10936.00
37042	10/19/2016	RavenStimv2	1	ShamMFG	Rel2	1	7304.00	7304.00
37043	10/21/2016	RavenStimv2	1	StimIPG	Rel2	1	8240.00	8240.00
37045	10/27/2016	RavenStimv1	1	StimMFG	Rel2	1	16408.67	16408.67
37047	11/2/2016	RavenStimv1	1	StimIPG	Rel2	0.6666666667	5536.50	8599.00
37048	11/3/2016	RavenStimv1	1	ShamIPG	Rel2	1	10495.67	10495.67
37049	11/4/2016	RavenStimv3	1	StimMFG	Rel2	0.3333333333	11281.00	9725.33
37050	11/9/2016	RavenStimv3	1	ShamMFG	Rel2	1	10167.00	10167.00
37052	11/23/2016	RavenStimv3	1	StimIPG	Rel2	0.3333333333	4961.00	9094.00
37053	11/30/2016	RavenStimv3	1	ShamIPG	Rel2	0.6666666667	7785.00	7892.67
37054	12/1/2016	RavenStimv4	1	StimMFG	Rel2	1	5363.33	5363.33
37056	1/17/2017	RavenStimv4	1	ShamMFG	Rel2	1	5814.00	5814.00
37057	1/25/2017	RavenStimv4	1	StimIPG	Rel2	0.6666666667	9971.00	15076.67
37058	1/31/2017	RavenStimv4	1	ShamIPG	Rel2	1	5140.33	5140.33
37059	2/3/2017	RavenStimv1	1	ShamMFG	Rel2	0.6666666667	9647.00	23843.33
37061	2/10/2017	RavenStimv2	1	ShamIPG	Rel2	1	7809.00	7809.00
37063	3/6/2017	RavenStimv3	1	StimMFG	Rel2	1	12438.00	12438.00
37064	3/13/2017	RavenStimv3	1	ShamMFG	Rel2	1	16264.67	16264.67
37065	3/16/2017	RavenStimv2	1	ShamIPG	Rel2	1	18163.67	18163.67
37066	4/10/2017	RavenStimv2	1	ShamIPG	Rel2	1	14087.67	14087.67
37067	4/12/2017	RavenStimv4	1	StimIPG	Rel2	1	8504.00	8504.00
37068	4/14/2017	RavenStimv4	1	StimIPG	Rel2	1	6050.33	6050.33
37041	10/12/2016	RavenStimv2	2	ShamMFG	Rel2	1	17134.00	17134.00
37042	10/19/2016	RavenStimv2	2	StimMFG	Rel2	0.6666666667	12545.00	12987.33
37043	10/21/2016	RavenStimv2	2	ShamIPG	Rel2	1	8704.33	8704.33
37045	10/27/2016	RavenStimv1	2	ShamMFG	Rel2	0.6666666667	9127.50	14225.67
37047	11/2/2016	RavenStimv1	2	ShamIPG	Rel2	0.6666666667	4047.50	6329.33
37048	11/3/2016	RavenStimv1	2	StimIPG	Rel2	1	8954.00	8954.00
37049	11/4/2016	RavenStimv3	2	ShamMFG	Rel2	0.3333333333	8698.00	5209.33
37050	11/9/2016	RavenStimv3	2	StimMFG	Rel2	1	6913.67	6913.67
37052	11/23/2016	RavenStimv3	2	ShamIPG	Rel2	1	7011.33	7011.33
37053	11/30/2016	RavenStimv3	2	StimIPG	Rel2	0.6666666667	4390.00	6657.00
37054	12/1/2016	RavenStimv4	2	ShamMFG	Rel2	0.6666666667	5638.00	8787.33
37056	1/17/2017	RavenStimv4	2	StimMFG	Rel2	1	10536.67	10536.67
37057	1/25/2017	RavenStimv4	2	ShamIPG	Rel2	1	16880.67	16880.67
37058	1/31/2017	RavenStimv4	2	StimIPG	Rel2	1	4751.00	4751.00
37059	2/3/2017	RavenStimv1	2	StimMFG	Rel2	1	17767.33	17767.33
37061	2/10/2017	RavenStimv2	2	StimIPG	Rel2	1	8871.67	8871.67
37063	3/6/2017	RavenStimv3	2	ShamMFG	Rel2	1	10781.33	10781.33
37064	3/13/2017	RavenStimv3	2	StimMFG	Rel2	1	12453.00	12453.00
37065	3/16/2017	RavenStimv2	2	StimIPG	Rel2	1	17837.00	17837.00
37066	4/10/2017	RavenStimv2	2	StimIPG	Rel2	1	23186.00	23186.00
37067	4/12/2017	RavenStimv4	2	ShamIPG	Rel2	0.6666666667	11323.50	10016.33
37068	4/14/2017	RavenStimv4	2	ShamIPG	Rel2	0.6666666667	4123.50	12108.00
37041	10/12/2016	RavenStimv2	3	StimIPG	Rel2	0.6666666667	34346.50	25855.00
37042	10/19/2016	RavenStimv2	3	ShamIPG	Rel2	0.6666666667	11831.00	18577.33
37043	10/21/2016	RavenStimv2	3	StimMFG	Rel2	1	26361.67	26361.67
37045	10/27/2016	RavenStimv1	3	StimIPG	Rel2	1	20915.67	20915.67
37047	11/2/2016	RavenStimv1	3	StimMFG	Rel2	1	14769.33	14769.33
37048	11/3/2016	RavenStimv1	3	ShamMFG	Rel2	1	19210.00	19210.00
37049	11/4/2016	RavenStimv3	3	StimIPG	Rel2	0	0.00	15636.33
37050	11/9/2016	RavenStimv3	3	ShamIPG	Rel2	0.6666666667	14456.00	13321.67
37052	11/23/2016	RavenStimv3	3	StimMFG	Rel2	1	17837.67	17837.67
37053	11/30/2016	RavenStimv3	3	ShamMFG	Rel2	1	15260.33	15260.33
37054	12/1/2016	RavenStimv4	3	StimIPG	Rel2	1	20967.33	20967.33
37056	1/17/2017	RavenStimv4	3	ShamIPG	Rel2	1	10148.67	10148.67
37057	1/25/2017	RavenStimv4	3	StimMFG	Rel2	1	13942.67	13942.67
37058	1/31/2017	RavenStimv4	3	ShamMFG	Rel2	1	9815.00	9815.00
37059	2/3/2017	RavenStimv1	3	ShamIPG	Rel2	0.6666666667	39136.50	32117.00
37061	2/10/2017	RavenStimv2	3	ShamMFG	Rel2	1	13205.67	13205.67
37063	3/6/2017	RavenStimv3	3	StimIPG	Rel2	0.6666666667	19088.00	19598.67
37064	3/13/2017	RavenStimv3	3	ShamIPG	Rel2	1	22262.33	22262.33
37065	3/16/2017	RavenStimv2	3	ShamMFG	Rel2	0.3333333333	12690.00	17726.33
37066	4/10/2017	RavenStimv2	3	ShamMFG	Rel2	0.6666666667	10090.50	13016.00
37067	4/12/2017	RavenStimv4	3	StimMFG	Rel2	0.6666666667	23208.50	23411.00
37068	4/14/2017	RavenStimv4	3	StimMFG	Rel2	1	18046.00	18046.00
37041	10/12/2016	RavenStimv2	4	ShamIPG	Rel2	0.6666666667	7033.50	7857.33
37042	10/19/2016	RavenStimv2	4	StimIPG	Rel2	0.6666666667	5316.00	14943.00
37043	10/21/2016	RavenStimv2	4	ShamMFG	Rel2	0.6666666667	4686.50	17316.33
37045	10/27/2016	RavenStimv1	4	ShamIPG	Rel2	0.6666666667	7471.00	12430.00
37047	11/2/2016	RavenStimv1	4	ShamMFG	Rel2	0.6666666667	5784.50	9804.67
37048	11/3/2016	RavenStimv1	4	StimMFG	Rel2	1	13304.00	13304.00
37049	11/4/2016	RavenStimv3	4	ShamIPG	Rel2	0.3333333333	10630.00	10842.33
37050	11/9/2016	RavenStimv3	4	StimIPG	Rel2	0.6666666667	6271.50	14802.00
37052	11/23/2016	RavenStimv3	4	ShamMFG	Rel2	0.6666666667	9652.00	9138.00
37053	11/30/2016	RavenStimv3	4	StimMFG	Rel2	1	7545.67	7545.67
37054	12/1/2016	RavenStimv4	4	ShamIPG	Rel2	0.6666666667	7077.00	6306.00
37056	1/17/2017	RavenStimv4	4	StimIPG	Rel2	0.6666666667	11469.50	12470.00
37057	1/25/2017	RavenStimv4	4	ShamMFG	Rel2	0.6666666667	11391.00	13995.33
37058	1/31/2017	RavenStimv4	4	StimMFG	Rel2	0.6666666667	8253.50	9288.33
37059	2/3/2017	RavenStimv1	4	StimIPG	Rel2	0.6666666667	8900.00	17129.00
37061	2/10/2017	RavenStimv2	4	StimMFG	Rel2	1	11066.00	11066.00
37063	3/6/2017	RavenStimv3	4	ShamIPG	Rel2	0.6666666667	6373.00	7066.33
37064	3/13/2017	RavenStimv3	4	StimIPG	Rel2	0.6666666667	9395.00	10574.00
37065	3/16/2017	RavenStimv2	4	StimMFG	Rel2	0.6666666667	7160.00	10163.00
37066	4/10/2017	RavenStimv2	4	StimMFG	Rel2	0.6666666667	17126.00	22888.00
37067	4/12/2017	RavenStimv4	4	ShamMFG	Rel2	0.3333333333	7043.00	11303.33
37068	4/14/2017	RavenStimv4	4	ShamMFG	Rel2	0.3333333333	10288.00	21927.33
37041	10/12/2016	RavenStimv2	1	StimMFG	Rel3	0.6666666667	17510.50	34272.33
37042	10/19/2016	RavenStimv2	1	ShamMFG	Rel3	0.6666666667	13875.50	14507.67
37043	10/21/2016	RavenStimv2	1	StimIPG	Rel3	0.6666666667	10790.00	11969.00
37045	10/27/2016	RavenStimv1	1	StimMFG	Rel3	0.3333333333	8930.00	14433.00
37047	11/2/2016	RavenStimv1	1	StimIPG	Rel3	1	18116.00	18116.00
37048	11/3/2016	RavenStimv1	1	ShamIPG	Rel3	1	29084.00	29084.00
37049	11/4/2016	RavenStimv3	1	StimMFG	Rel3	0.3333333333	9584.00	7179.00
37050	11/9/2016	RavenStimv3	1	ShamMFG	Rel3	0.3333333333	10501.00	10452.67
37052	11/23/2016	RavenStimv3	1	StimIPG	Rel3	0.6666666667	20714.50	19252.00
37053	11/30/2016	RavenStimv3	1	ShamIPG	Rel3	0.6666666667	15735.50	15170.00
37054	12/1/2016	RavenStimv4	1	StimMFG	Rel3	0.6666666667	9017.00	8690.33
37056	1/17/2017	RavenStimv4	1	ShamMFG	Rel3	0.6666666667	17341.00	13528.67
37057	1/25/2017	RavenStimv4	1	StimIPG	Rel3	1	21736.00	21736.00
37058	1/31/2017	RavenStimv4	1	ShamIPG	Rel3	0.6666666667	8842.50	9275.67
37059	2/3/2017	RavenStimv1	1	ShamMFG	Rel3	0.3333333333	46078.00	38115.00
37061	2/10/2017	RavenStimv2	1	ShamIPG	Rel3	0.6666666667	10732.50	13417.67
37063	3/6/2017	RavenStimv3	1	StimMFG	Rel3	0.6666666667	25074.50	26628.67
37064	3/13/2017	RavenStimv3	1	ShamMFG	Rel3	1	28019.67	28019.67
37065	3/16/2017	RavenStimv2	1	ShamIPG	Rel3	0.6666666667	23371.50	30501.00
37066	4/10/2017	RavenStimv2	1	ShamIPG	Rel3	0.6666666667	14985.50	15932.67
37067	4/12/2017	RavenStimv4	1	StimIPG	Rel3	0.3333333333	11020.00	11983.33
37068	4/14/2017	RavenStimv4	1	StimIPG	Rel3	0	0.00	17119.67
37041	10/12/2016	RavenStimv2	2	ShamMFG	Rel3	1	38518.67	38518.67
37042	10/19/2016	RavenStimv2	2	StimMFG	Rel3	1	15285.00	15285.00
37043	10/21/2016	RavenStimv2	2	ShamIPG	Rel3	1	20089.67	20089.67
37045	10/27/2016	RavenStimv1	2	ShamMFG	Rel3	1	14842.67	14842.67
37047	11/2/2016	RavenStimv1	2	ShamIPG	Rel3	1	12394.00	12394.00
37048	11/3/2016	RavenStimv1	2	StimIPG	Rel3	1	10969.67	10969.67
37049	11/4/2016	RavenStimv3	2	ShamMFG	Rel3	0.6666666667	7261.50	6468.33
37050	11/9/2016	RavenStimv3	2	StimMFG	Rel3	1	12162.00	12162.00
37052	11/23/2016	RavenStimv3	2	ShamIPG	Rel3	1	13716.33	13716.33
37053	11/30/2016	RavenStimv3	2	StimIPG	Rel3	0.6666666667	10870.50	11872.00
37054	12/1/2016	RavenStimv4	2	ShamMFG	Rel3	0.6666666667	8562.00	8415.67
37056	1/17/2017	RavenStimv4	2	StimMFG	Rel3	0.3333333333	20486.00	11865.67
37057	1/25/2017	RavenStimv4	2	ShamIPG	Rel3	0.6666666667	14928.00	16396.33
37058	1/31/2017	RavenStimv4	2	StimIPG	Rel3	1	7191.67	7191.67
37059	2/3/2017	RavenStimv1	2	StimMFG	Rel3	0.6666666667	45599.50	47859.00
37061	2/10/2017	RavenStimv2	2	StimIPG	Rel3	0.3333333333	7872.00	22362.67
37063	3/6/2017	RavenStimv3	2	ShamMFG	Rel3	1	12160.33	12160.33
37064	3/13/2017	RavenStimv3	2	StimMFG	Rel3	1	16448.67	16448.67
37065	3/16/2017	RavenStimv2	2	StimIPG	Rel3	0.3333333333	28328.00	24085.67
37066	4/10/2017	RavenStimv2	2	StimIPG	Rel3	0.3333333333	22334.00	31026.67
37067	4/12/2017	RavenStimv4	2	ShamIPG	Rel3	1	13294.67	13294.67
37068	4/14/2017	RavenStimv4	2	ShamIPG	Rel3	1	14730.33	14730.33
37041	10/12/2016	RavenStimv2	3	StimIPG	Rel3	0.6666666667	9760.00	14484.00
37042	10/19/2016	RavenStimv2	3	ShamIPG	Rel3	1	17293.00	17293.00
37043	10/21/2016	RavenStimv2	3	StimMFG	Rel3	1	12218.00	12218.00
37045	10/27/2016	RavenStimv1	3	StimIPG	Rel3	0.6666666667	15902.00	14744.67
37047	11/2/2016	RavenStimv1	3	StimMFG	Rel3	0.6666666667	8634.00	12166.33
37048	11/3/2016	RavenStimv1	3	ShamMFG	Rel3	0.6666666667	19249.50	17333.00
37049	11/4/2016	RavenStimv3	3	StimIPG	Rel3	0.6666666667	10910.50	20984.00
37050	11/9/2016	RavenStimv3	3	ShamIPG	Rel3	0.3333333333	6590.00	10045.00
37052	11/23/2016	RavenStimv3	3	StimMFG	Rel3	0.6666666667	10801.00	14949.00
37053	11/30/2016	RavenStimv3	3	ShamMFG	Rel3	0.6666666667	8998.50	8576.67
37054	12/1/2016	RavenStimv4	3	StimIPG	Rel3	0.3333333333	9641.00	7317.67
37056	1/17/2017	RavenStimv4	3	ShamIPG	Rel3	0.6666666667	11420.00	10511.33
37057	1/25/2017	RavenStimv4	3	StimMFG	Rel3	0.3333333333	14787.00	15493.67
37058	1/31/2017	RavenStimv4	3	ShamMFG	Rel3	1	11693.67	11693.67
37059	2/3/2017	RavenStimv1	3	ShamIPG	Rel3	0.3333333333	19497.00	18199.33
