TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 13.144563, -35.00004, 24.17464
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 15.224128, -43.9999, 31.11442
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 10.6276865, -24.500057, 15.90601
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 12.051375, -35.50003, 24.61957
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 15.614003, -47.99984, 35.875755
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 13.78125, -35.00004, 24.861755
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 16.889248, -60.99964, 47.868504
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 15.739186, -49.499817, 37.730278
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 11.228941, -37.000008, 26.979395
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 13.744999, -37.000008, 26.113884
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 12.810001, -37.000008, 26.771591
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 12.716502, -32.500076, 22.347988
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 15.46687, -49.499817, 37.0562
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 14.953811, -48.999825, 36.724174
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 13.8810625, -40.999947, 30.030434
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 13.175686, -38.499985, 28.521122
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 17.069939, -57.999687, 45.039284
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 16.209436, -50.999794, 38.857502
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 15.139754, -50.4998, 37.9702
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 15.080626, -55.999718, 43.120354
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 13.004935, -41.49994, 30.392561
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 16.320063, -58.999672, 45.006317
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 14.502877, -48.499832, 37.41475
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 15.140126, -50.4998, 38.2019
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 10.877251, -30.000078, 20.08569
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 13.502813, -39.99996, 28.83673
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 14.800938, -49.99981, 36.62311
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 15.055752, -52.999763, 41.19422
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 14.148505, -41.99993, 30.604862
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 12.143685, -34.500046, 24.411648
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 12.471561, -40.999947, 30.439764
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 14.652185, -45.499878, 33.671535
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 12.142379, -33.50006, 23.25583
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 15.267626, -49.499817, 36.869053
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 17.545624, -68.49953, 54.086147
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 16.368876, -57.499695, 43.448387
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 15.268876, -54.999733, 41.75047
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 16.185688, -52.49977, 39.822575
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 13.8427515, -38.499985, 26.955227
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 15.848875, -54.49974, 41.89183
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 14.483626, -50.999794, 38.357113
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 17.228876, -64.99958, 51.05775
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 14.57687, -52.999763, 40.58669
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 16.461433, -55.999718, 43.038143
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 13.169752, -35.50003, 24.983738
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 12.867501, -32.000084, 22.145847
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 17.352062, -66.49956, 52.366905
35.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.875, 14.693188, -43.49991, 32.17929
