TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 7.7259984, -8.999998, 1.5197215
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 10.260752, -11.500008, 2.4482346
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 5.89625, -5.9999967, 0.56126666
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 6.418314, -6.9999957, 0.46370915
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 8.821564, -11.000006, 3.3242881
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 7.751624, -9.5, 2.766207
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 7.5428743, -6.499996, 1.0538424
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 8.446251, -12.00001, 4.4163785
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 5.9210634, -6.499996, 0.85968965
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 7.091375, -6.499996, 0.4145603
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 7.6375, -7.9999948, 1.8624123
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 8.046377, -10.000002, 2.539455
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 6.856813, -6.499996, 0.5968959
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 8.082812, -10.500004, 2.8283195
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 5.599189, -2.4999998, -0.4187305
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 5.4186244, -0.5, -0.14861713
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 5.86225, -2.9999993, -0.41045463
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 9.116875, -12.00001, 4.329098
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 5.986749, -1.5000002, -0.5546893
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 8.026875, -10.000002, 2.48893
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 7.2050014, -10.500004, 2.9612033
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 9.931253, -13.500015, 4.3357215
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 6.3449383, -5.9999967, 1.0980128
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 7.7907505, -6.499996, 0.6700804
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 7.068124, -9.5, 1.9861732
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 5.6166244, 0.0, 0.0
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.3237505, -11.500008, 2.7373412
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 6.8413105, -8.999998, 2.6839168
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 7.012188, -5.499997, 0.23210901
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 5.3937497, 0.0, 0.0
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 5.439125, -0.5, -0.10804802
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 6.792499, -5.9999967, 0.46523574
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 6.1822495, -3.4999988, -0.31654236
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 8.702251, -9.5, 2.1484532
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 5.9645, -3.9999983, -0.2384654
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 8.900437, -12.00001, 3.0685422
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 6.4578114, -4.499998, -0.42019194
