TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 5.6092505, -14.500019, 4.7715106
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 5.8853755, -18.000032, 7.6850643
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 6.2118754, -22.000048, 10.509178
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 6.2633743, -17.50003, 7.907331
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 6.0828123, -15.500023, 6.620227
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 6.458499, -20.500042, 9.298077
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.7081885, -16.000025, 5.710765
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 6.272563, -15.500023, 5.1374254
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.833062, -17.000029, 8.507031
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 6.2356873, -15.000021, 4.564745
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.8147497, -17.000029, 7.109316
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.912123, -11.000006, 3.006626
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 6.2193747, -15.000021, 5.959874
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 6.381438, -17.000029, 8.340825
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 6.694938, -18.000032, 5.811912
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.625, 5.9001875, -16.000025, 8.348224
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.3556876, -11.500008, 2.5137858
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 6.448126, -17.50003, 6.0037813
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 6.5300627, -16.500027, 5.3303194
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 6.445313, -24.500057, 13.856562
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 6.6094365, -24.500057, 14.634586
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 6.6545634, -22.50005, 10.476881
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 5.828438, -17.000029, 7.044224
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 6.215438, -15.000021, 5.6770253
