TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.0166874, -7.499995, -0.051680468
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.75, 5.0530624, -7.9999948, 0.3928206
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.1894374, -9.5, 0.7406672
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.625, 5.469813, -7.9999948, 0.84465617
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.521313, -8.499996, 1.4115305
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 5.429999, -7.9999948, 0.20234507
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.0406237, -7.9999948, -0.06335958
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 5.6326265, -7.9999948, -0.09109903
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.0437503, -7.9999948, 1.6954595
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 5.597813, -7.499995, -0.5949869
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.0437493, -7.9999948, 0.5026759
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.638751, -7.9999948, 0.4993325
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.8193135, -10.000002, 1.7316974
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.72325, -8.999998, 2.0916216
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.8381248, -7.9999948, -0.9941567
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.6875, 5.5608134, -11.500008, 4.1551633
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.0622497, -7.9999948, -0.27678916
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 5.6507497, -7.9999948, -0.552625
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.845062, -7.9999948, -0.48559916
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.433499, -12.500011, 4.020872
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.2368765, -7.9999948, 1.7331942
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.445626, -7.9999948, -0.03004869
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.047438, -7.9999948, 0.4853628
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.6270633, -7.9999948, 0.6211674
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.75, 4.8607497, -7.9999948, 1.0974495
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.6875, 5.0087495, -7.499995, 0.9171302
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.43, -7.9999948, 0.40146625
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.75, 5.813688, -15.000021, 5.033835
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.935438, -14.000017, 3.9451737
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.885812, -8.499996, 0.92874646
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.442562, -7.9999948, -1.703387
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.2383113, -7.9999948, 0.94638735
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.4375, 5.0526247, -7.9999948, 0.6686497
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.445624, -7.9999948, 1.535822
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.9375, 5.2325, -7.9999948, -0.28103727
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 5.6608114, -7.9999948, -0.450634
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.8125, 5.503437, -8.499996, 0.8997645
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.875, 5.445625, -7.9999948, 0.74358624
25.0, 0.025, 4.0, 1.0, 0.1, 0.1, 0.6875, 5.238438, -7.9999948, 0.5713361
