TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 10.086938, -24.000055, 12.750113
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 13.62956, -30.50008, 16.511423
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 10.238812, -25.00006, 15.21748
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 9.487938, -27.500069, 15.76995
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 1.0, 14.572313, -38.999977, 26.069532
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 12.261873, -30.50008, 19.666965
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 12.833439, -29.000074, 18.211384
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.785688, -27.500069, 17.057522
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 7.4832516, -17.000029, 8.392703
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 12.10531, -26.000063, 14.691326
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.37856, -28.00007, 17.603266
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 11.471937, -29.000074, 17.534752
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.898126, -23.500053, 12.698413
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 13.559251, -32.000084, 19.913637
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 11.937248, -34.500046, 22.805922
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 11.909873, -29.000074, 19.22454
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 13.576688, -37.999992, 25.517696
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 15.297874, -44.999886, 31.89421
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 8.5859995, -19.500038, 9.233865
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.419062, -15.500023, 6.38261
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 10.644688, -30.000078, 18.758368
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 13.621377, -30.000078, 17.346836
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 9.325626, -22.50005, 13.76364
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 12.141875, -32.000084, 20.240324
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 7.909937, -16.500027, 7.0409017
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 10.005125, -25.00006, 14.119005
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 12.785872, -25.500061, 13.041281
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 9.060063, -21.000044, 12.054308
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 8.119376, -11.000006, 3.2810907
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 10.5268755, -26.000063, 15.541803
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 7.032064, -11.500008, 3.980682
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 12.756875, -30.50008, 18.69226
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.789, -19.000036, 9.215472
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 10.980374, -20.500042, 10.124405
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 10.796561, -24.000055, 13.365498
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 12.05856, -25.00006, 12.882129
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 9.448311, -21.500046, 10.508611
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 12.718379, -30.50008, 18.68277
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 12.6571245, -29.500076, 17.009884
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.814375, -28.00007, 16.912447
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 11.116501, -25.00006, 13.664933
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 1.0, 11.988625, -32.500076, 20.579597
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 9.895625, -26.500065, 15.785643
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.513313, -24.500057, 13.733741
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 13.641378, -35.50003, 23.253027
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 11.014626, -26.000063, 15.624102
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 13.809624, -35.00004, 22.603762
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 12.639377, -29.500076, 18.37217
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 10.808251, -24.000055, 13.468917
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 14.165187, -34.000053, 20.061018
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 10.291373, -26.000063, 14.98894
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 7.631625, -19.000036, 9.31192
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 10.483436, -25.500061, 15.30292
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 14.411434, -37.000008, 22.842953
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.229375, -13.000013, 3.938114
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 8.809939, -19.000036, 10.077889
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 11.018937, -26.500065, 14.701175
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 14.550813, -44.499893, 31.326817
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 12.42, -29.500076, 16.673319
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.471374, -23.500053, 12.247825
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.434563, -29.000074, 18.032871
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 12.509252, -28.00007, 16.368444
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 8.501812, -18.500034, 9.247534
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 10.31825, -26.500065, 15.67743
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 10.180627, -24.500057, 13.811067
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 9.843938, -20.500042, 11.052703
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 12.228187, -24.500057, 14.197371
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.9375, 12.559563, -28.500072, 16.708754
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 10.658063, -25.00006, 14.164737
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 10.151064, -21.500046, 11.349811
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 9.332624, -20.00004, 10.06947
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.6875, 10.728375, -23.000051, 12.498646
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 11.010187, -23.500053, 12.09215
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.366187, -20.500042, 10.958154
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 9.765999, -22.50005, 12.623718
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 13.562314, -40.999947, 28.438013
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 9.777311, -19.500038, 8.895689
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 11.310874, -21.500046, 11.262605
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.875, 11.992812, -24.500057, 12.987892
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 1.0, 12.975502, -36.000023, 22.55811
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 13.279247, -26.000063, 13.556223
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 11.926563, -26.500065, 16.375149
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5625, 11.386623, -28.00007, 16.679443
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.8125, 11.130877, -25.00006, 14.639415
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 11.667562, -28.500072, 16.698023
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 1.0, 14.765686, -35.50003, 21.794695
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.75, 7.204876, -19.000036, 10.337812
30.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 11.240377, -21.000044, 10.474481
