TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5, 5.3317504, -1.5000002, -0.26708093
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.150499, -6.499996, 1.2402408
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 7.3865013, -6.499996, 1.8934605
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 5.557375, -1.5000002, -0.19498003
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.9603724, -6.499996, 1.263734
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5625, 5.8721876, -2.9999993, -0.05911968
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 6.2912493, -8.499996, 2.6802292
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.9305, -3.4999988, 0.34602138
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 8.687501, -12.00001, 4.7256184
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 7.1037507, -9.5, 3.8358874
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5625, 5.713564, -1.0000001, -0.20576657
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.6544366, -2.9999993, 0.037511345
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.6921234, -3.4999988, -0.0468184
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.436998, -4.499998, 0.657943
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.4716244, -1.0000001, -0.246071
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 7.06, -8.999998, 2.890428
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.199249, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.9248757, -5.9999967, 1.0964581
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.9375, 6.7424994, -7.9999948, 2.0062606
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.960687, -3.4999988, 0.1950988
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.6048746, -2.4999998, -0.12258373
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.3125, 5.598374, -2.4999998, -0.071039565
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5625, 5.184625, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 6.4601884, -7.499995, 1.8049431
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 6.07775, -5.499997, 0.99027354
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 7.020751, -8.999998, 2.8798988
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.4375, 5.6055627, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5625, 5.723188, -1.0000001, -0.248369
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 7.5718117, -9.5, 3.32125
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 7.2435, -8.499996, 2.5369005
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 7.733437, -11.000006, 4.3210545
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.9375, 7.580125, -10.000002, 3.6063974
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 6.37225, -6.499996, 1.3071604
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 6.177314, -6.9999957, 1.647388
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.4375, 5.7988734, -4.499998, 0.44105953
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.9986234, -7.499995, 1.9495151
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.025437, -4.499998, 0.6045125
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.7046876, -1.0000001, -0.20689547
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.306875, -8.499996, 2.3827782
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 7.5787477, -10.000002, 3.8785203
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.837188, -5.499997, 0.8250609
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 7.1087484, -10.000002, 3.587094
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 5.602624, -4.9999976, 0.5994679
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 1.0, 8.3618765, -11.000006, 3.8418112
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.615999, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 5.842312, -2.4999998, -0.19862375
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.8625, -9.5, 2.9850278
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.6083126, -4.9999976, 0.74947035
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.725814, -7.9999948, 2.5535643
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.9643755, -6.9999957, 1.6391757
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 5.47, -1.0000001, -0.20925185
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.9185624, -3.4999988, 0.16992176
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.8005004, -2.0000002, -0.14952597
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5625, 6.25375, -7.9999948, 2.3975015
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.5, 6.5731244, -8.999998, 2.7753725
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.433687, -0.5, -0.114191666
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.625, 5.384375, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.8050003, -8.999998, 2.6900568
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.5591245, -2.0000002, -0.08591525
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.544376, -7.9999948, 2.1403723
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.263747, -2.0000002, -0.13994524
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 6.506312, -7.9999948, 2.422468
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.4375, 6.164687, -6.499996, 1.5194969
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 8.127874, -11.000006, 3.9487343
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.3942504, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 6.4478765, -7.499995, 2.040914
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 5.518501, -1.5000002, -0.22584592
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.875, 6.225688, -7.499995, 1.9850312
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.566877, -8.999998, 2.9226894
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.4031253, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 7.1756234, -10.500004, 3.803634
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.75, 6.33675, -2.4999998, -0.23624234
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 6.9194384, -4.499998, 0.4037441
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 5.393876, 0.0, 0.0
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 6.927688, -7.499995, 1.79671
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.8125, 6.4944396, -7.9999948, 2.3569946
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.9375, 5.9886885, -4.499998, 0.339375
22.0, 0.025, 1.0, 2.0, 0.1, 0.1, 0.6875, 6.2261267, -4.499998, 0.33617187
