TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.5711255, -2.0000002, -0.54919654
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.3918767, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.4080014, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.783125, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.7893763, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.785937, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.4510007, -0.5, -0.33190465
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.0509386, -0.5, -0.1287131
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.6144996, -2.4999998, -0.14121278
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.498875, -5.9999967, -0.15706621
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.6133122, -2.4999998, -0.5789711
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.127438, -1.5000002, -0.6635214
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.990562, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.9981246, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.232499, -0.5, -0.33664075
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.6011877, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.396876, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.9918756, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.2259994, -0.5, -0.18496631
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.5233116, -1.5000002, -0.28966552
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.598125, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.7987494, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.452874, -0.5, -0.14568254
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.9917502, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.2037506, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.625, 4.9668746, -6.9999957, 0.9223054
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.9906244, -2.4999998, -0.5159151
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.6306877, -0.5, -0.23993671
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.9219375, -1.5000002, -0.47285473
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.1823115, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.8982515, -1.0000001, -0.6092844
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.5993757, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.384376, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.838499, -0.5, -0.1547963
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.2400002, -7.9999948, 0.5995246
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.140187, -1.5000002, -0.78399706
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.891874, -1.0000001, -0.22956347
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.84, -0.5, -0.23123926
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.7445006, -1.5000002, -0.449965
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.81175, -2.4999998, -0.7884726
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.297439, -1.0000001, -0.09137646
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.5, 4.6106257, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.361438, -2.0000002, -0.16774605
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.6801867, -1.0000001, -0.075222306
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.610438, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.4124994, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.989499, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.8433137, -0.5, -0.076797105
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.7831244, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.2921257, -5.9999967, 0.4040501
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.7987494, 0.0, 0.0
20.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.6727495, -2.9999993, -0.44996494
