TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.8171887, -4.9999976, -0.15330656
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 5.0406237, -7.9999948, 1.0614735
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.043749, -7.9999948, 0.817654
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.793002, 0.0, 0.0
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.8829374, -1.0000001, -0.27388805
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.3635626, -6.9999957, 0.611796
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.439062, -0.5, -0.08103181
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.526438, -6.499996, -0.09336478
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.0066247, -7.499995, 1.733355
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.126436, -1.5000002, -0.4206455
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.767501, -4.499998, -0.0623996
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.9793763, 0.0, 0.0
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.0479994, -0.5, -0.07317629
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.9903135, 0.0, 0.0
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 5.607375, -4.9999976, -0.9088032
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.625, 5.092125, -5.9999967, 1.2922817
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 4.624376, -2.4999998, -0.32485902
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.648124, -7.9999948, 0.38652954
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.2304993, -0.5, -0.19736654
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.0343747, -7.9999948, 1.5817437
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 4.724312, -1.5000002, -0.027453788
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.285689, -5.9999967, -0.15461439
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.0406265, -7.9999948, 1.128389
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.526439, -6.499996, 0.60650176
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.3826866, -2.0000002, -0.2548016
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.8125, 5.0437503, -7.9999948, 1.5841213
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.39875, -7.499995, 0.72905415
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.7144995, -1.5000002, -0.50347584
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.20575, -4.9999976, 0.09667454
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 5.369436, -2.0000002, -0.37288773
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.9353127, -1.5000002, -0.8114652
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.2212505, -7.9999948, 1.4784484
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 5.040624, -7.9999948, 1.2898145
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.3351884, -6.499996, 1.1198548
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 5.236875, -7.9999948, 0.5736222
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.6418757, -7.9999948, 0.45138064
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.329562, -6.499996, 0.34142455
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.798749, 0.0, 0.0
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.75, 4.884062, -3.4999988, -0.12190333
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.9375, 4.9253125, -3.9999983, -0.93948865
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.8287487, -7.9999948, 1.9958775
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.875, 5.197688, -7.499995, 0.861073
22.0, 0.025, 3.0, 1.0, 0.1, 0.1, 0.6875, 4.762124, -6.9999957, 1.019032
