TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.489375, -1.0000001, -0.19453664
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 4.3875017, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 4.4119987, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.6875, 4.9722505, -2.0000002, -0.24263337
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.220562, -4.9999976, 0.65991694
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.8369365, -0.5, -0.14261585
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.7201877, -3.9999983, 0.07475007
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 5.0475636, -0.5, -0.10676855
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.403499, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.0386243, -0.5, -0.20480499
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.4027505, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.9824996, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.3007493, -3.4999988, -0.24831837
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.080812, -1.0000001, -0.12828976
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 5.491876, -3.4999988, -0.17349853
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.6439996, -0.5, -0.05304624
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.850125, -5.499997, 0.36071706
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.9936867, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.1725006, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.6993756, -3.4999988, 0.094422705
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.58375, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.7924995, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.398, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 4.991875, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.6875, 4.242123, -0.5, -0.06523792
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.6875, 4.8928747, -5.9999967, 0.97509354
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.889563, -1.0000001, -0.2394867
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.5922503, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.7807503, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.176125, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 4.8000636, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.597187, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.4375, 4.4062505, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.862938, -0.5, -0.0936779
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.586813, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.9851866, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.8923745, -1.0000001, -0.14308085
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.6875, 4.8083754, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.7008123, -1.0000001, -0.1179892
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.596251, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 5.184999, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.625, 4.6087494, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.625, 4.1912494, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 4.59, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.632562, -0.5, -0.09715699
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.6875, 4.410876, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.9949985, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.7956247, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.875, 4.8066883, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.248438, -5.499997, 0.59477615
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 4.933, -1.5000002, -0.22634986
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.443126, -0.5, -0.22079597
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.0006886, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.9908133, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.75, 5.2215004, -2.4999998, -0.3856583
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.5899997, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.8125, 4.6087494, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.7768755, 0.0, 0.0
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 5.0362496, -0.5, -0.24336535
20.0, 0.025, 2.0, 1.0, 0.1, 0.1, 0.9375, 4.99675, 0.0, 0.0
