TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.875, 8.785624, -16.000025, 3.1142106
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 13.138063, -24.000055, 6.1489244
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 10.579563, -29.500076, 16.861124
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 9.234313, -21.500046, 7.2354913
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6875, 12.5840025, -29.000074, 14.1349125
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 10.918874, -25.500061, 13.0068445
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 13.80931, -35.50003, 20.942768
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 11.550752, -24.500057, 12.020725
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5, 7.4436874, -16.500027, 5.913481
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6875, 12.669624, -30.000078, 14.343446
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 8.159873, -11.000006, 2.2446945
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 11.41606, -28.00007, 13.314561
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 13.485813, -31.000082, 15.241919
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5625, 13.255934, -34.000053, 17.95434
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 11.394437, -34.000053, 19.267746
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 11.399564, -25.500061, 14.532622
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.875, 13.051564, -31.500084, 16.68422
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 13.060186, -32.000084, 17.665335
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5625, 9.273624, -21.500046, 7.5316377
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 11.725625, -32.500076, 17.127502
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.625, 9.907875, -26.500065, 12.776766
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.875, 14.361002, -38.999977, 19.953846
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.625, 8.72131, -21.000044, 11.0990305
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 13.086939, -37.5, 21.426987
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 7.5285006, -15.000021, 3.051181
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 12.097749, -33.50006, 17.79999
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 14.44206, -37.5, 17.384819
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 9.318251, -24.500057, 13.215032
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 12.132626, -29.000074, 14.188469
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6875, 11.182935, -33.50006, 19.138031
