TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 8.247687, -12.500011, 5.160103
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 14.645, -1.0000001, -0.23196101
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 7.2211857, -11.000006, 4.234393
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.35714287, 7.4830017, -8.499996, 2.85088
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6666667, 8.364866, -8.999998, 2.8346336
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 7.5891876, -10.000002, 3.539354
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 7.7417493, -8.999998, 3.087949
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 7.3062477, -9.5, 3.728342
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 7.6590004, -5.9999967, 1.1675259
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6666667, 10.351666, -2.4999998, -0.15644343
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 7.763749, -9.5, 3.223092
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.9375, 8.393688, -11.500008, 4.560648
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.7, 9.754, -7.9999948, 2.1505637
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 7.977134, -10.000002, 3.3407376
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 7.797499, -5.9999967, 0.9155687
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 7.7018137, -11.000006, 4.2844806
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 6.3037496, -8.499996, 2.5870373
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.71428573, 9.639143, -5.499997, 0.7344494
25.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 8.806358, -11.000006, 3.8999894
