TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5714286, 8.448999, -13.000013, 1.4599258
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.278335, -7.9999948, -1.0619797
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 9.414249, -8.999998, -0.3651099
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 14.235, -3.4999988, -1.4471183
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 14.285, -3.4999988, -0.58726436
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 12.329, -2.0000002, -1.203233
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.7777778, 8.476222, -18.000032, 4.373466
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 13.585, -2.9999993, -1.544711
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 12.42, -2.0000002, -0.39810613
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 11.301001, -5.499997, -0.6224153
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 12.385, -2.0000002, -1.3176607
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.8, 9.132601, -11.000006, 2.1635413
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.105, -3.9999983, 0.110773504
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.71428573, 8.416715, -13.000013, 2.6486197
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 8.955251, -18.500034, 6.0961
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.625, 8.778873, -17.50003, 4.4039807
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 14.985, -3.9999983, -1.1483716
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 14.935, -3.9999983, -0.99982107
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6666667, 9.217001, -14.000017, 4.046626
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.6135, -4.499998, -1.77168
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6666667, 9.506332, -15.500023, 6.490127
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 9.402667, -5.499997, -0.19306359
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6, 7.9236, -6.499996, 0.2961106
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 11.233, -1.0000001, -0.2067036
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6, 9.0828, -10.500004, 2.0145233
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6, 10.3008, -15.500023, 5.6399813
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 11.349501, -5.499997, -0.00845189
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.177, -3.9999983, -1.3570006
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 9.995501, -3.4999988, -0.908307
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.85714287, 8.871714, -15.500023, 4.678578
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 9.085501, -7.9999948, -0.1736871
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 10.9869995, -4.9999976, -0.19139525
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.2155, -3.9999983, -1.5548615
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.41666666, 8.2265005, -22.50005, 10.81257
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 14.965, -3.9999983, -1.180868
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 11.2295, -5.499997, -0.6632702
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.153, -3.9999983, -0.5592291
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 13.035, -2.4999998, -1.4725153
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 13.075, -2.4999998, -1.146102
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 9.805, -3.4999988, -1.2581848
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 12.335, -2.0000002, -1.2614629
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6666667, 10.885999, -8.999998, 0.5643245
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 9.541249, -9.5, 1.4466997
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 8.183833, -9.5, 1.3099601
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5, 9.7045, -10.000002, 3.1881244
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 8.62375, -6.499996, -0.11772944
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6666667, 9.950667, -6.9999957, 0.8249587
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.092333, -6.9999957, -0.21553954
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 13.173, -2.4999998, -0.81592345
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 10.780001, -4.9999976, -1.2270088
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.72727275, 8.652272, -24.000055, 13.626327
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 9.397, -18.000032, 8.653192
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 13.097, -2.4999998, -1.4352521
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6, 9.6192, -12.500011, 4.1049347
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.875, 8.113999, -13.000013, 2.052501
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 9.61475, -9.5, 1.0948316
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 11.911501, -6.499996, -1.4326589
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 1.0, 11.8325, -6.499996, -0.80847687
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.8, 9.8636, -13.500015, 4.591655
