TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.12333448
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.08451467
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.075, 0.0, 0.0
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.099091806
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.087957785
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.18854459
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.16517128
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.09498236
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.2106628
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.10043727
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21343733
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.08529385
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.16545404
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.704, -0.5, -0.081258245
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.07239055
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.802, -0.5, -0.18222812
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.73, -0.5, -0.19950183
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.12473077
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.10501507
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.17562379
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.18284611
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.18066265
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.20316546
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23141958
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21940014
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22942446
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.14617254
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.087402344
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.18559617
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.1353192
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.754, -0.5, -0.21796902
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.11067803
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.0966164
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.22089083
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22441292
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.082354024
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.16001189
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.05052621
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.16054033
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.15756173
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.19658038
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.2299533
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.24890323
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.0723147
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.08722434
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.06779221
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.17679727
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21495417
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.22050391
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.083002046
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.818, -0.5, -0.16522847
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23263007
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.110507466
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.17056726
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.06992455
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.084748894
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.804, -0.5, -0.16710407
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.15721577
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.21960346
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.138, 0.0, 0.0
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.047, 0.0, 0.0
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.100185744
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.081566766
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.20958418
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22325127
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.35097992
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22508919
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.24641518
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.050839446
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.16828686
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.1654282
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.19858943
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.20998138
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.23164384
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.097458966
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.20268385
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.14066592
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.17510949
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.06222523
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.058202744
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23089616
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.24784546
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.714, -0.5, -0.09880998
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.15119086
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.10661238
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.11974194
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.757, -0.5, -0.21961376
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.877, -0.5, -0.16244242
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.203078
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.12731683
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.15678836
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.06907464
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.06434775
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.14524391
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21359572
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22535756
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.11134153
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.059050765
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.2448308
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.12927018
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.17373489
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.20336093
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.21965605
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21089403
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.21516137
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.103338085
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.1383335
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22720917
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.19399747
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.078, 0.0, 0.0
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.15132967
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.09622773
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.704, -0.5, -0.17374568
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.831, -0.5, -0.05662587
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.2500896
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.17004797
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.20645075
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.12076482
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.18454793
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.30629373
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.1188672
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.11848995
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.053466685
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.13447651
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.24917758
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.1692272
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.17908907
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.14297594
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.1433843
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.23191518
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23369679
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.14319956
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.059840333
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23863026
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.24259983
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.17544313
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.100342505
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.14171495
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.2037347
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.29776925
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.21703443
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.1031992
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.11854654
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.2271749
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.029, 0.0, 0.0
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.2128012
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.20900218
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.16973487
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.19109772
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.768, -0.5, -0.2379348
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.081182554
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.19857763
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.12337554
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.684, -0.5, -0.15175617
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.12738138
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.21363008
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.1877105
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.22648636
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.10669387
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.20974559
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.11457678
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.052853674
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.811, -0.5, -0.1350323
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 6.725, -0.5, -0.23858976
