TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 8.308812, -10.500004, -0.101442
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 16.645, -2.4999998, -1.4989398
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 9.015062, -24.500057, 11.101331
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.42857143, 9.103286, -11.000006, 2.628437
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6875, 9.37825, -17.50003, 6.382957
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.85714287, 10.717285, -11.000006, 2.759201
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.71428573, 10.683715, -14.000017, 1.7123371
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 13.738334, -7.499995, 2.205965
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 13.071666, -5.9999967, -1.3138565
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.33333334, 9.782666, -3.9999983, -1.0896093
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6666667, 12.704999, -4.9999976, -1.4586929
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5625, 8.880502, -20.00004, 6.119976
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 11.634999, -5.499997, -1.1260092
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5625, 7.648813, -13.500015, 3.864117
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 16.045, -2.0000002, -1.2036366
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 16.645, -2.4999998, -1.1770382
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 11.16875, -5.9999967, -1.0647496
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 1.0, 13.088334, -5.9999967, -1.3450977
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.33333334, 10.778165, -7.499995, 0.98537016
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8, 9.6668, -7.499995, -0.11523739
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.71428573, 11.194142, -11.000006, 2.2653942
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5, 9.881667, -8.999998, -0.43856153
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6, 10.393001, -7.499995, -1.1315011
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.75, 7.475438, -11.500008, 1.6054524
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.54545456, 9.682091, -15.500023, 2.5234957
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.6875, 8.93, -20.500042, 7.686828
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.3, 9.1364, -11.500008, 2.1168587
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.53846157, 9.785537, -18.000032, 8.539998
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.8125, 9.726375, -22.000048, 11.815671
30.0, 0.025, 4.0, 3.0, 0.1, 0.1, 0.5, 10.719998, -7.499995, -0.45185798
