TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 7.6803746, -8.499996, 2.3462825
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 14.745, -1.0000001, -0.23093598
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 6.5420637, -8.499996, 2.545542
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.33333334, 7.3783336, -6.9999957, 1.8893931
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 5.9091883, -0.5, -0.14143047
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 7.3958745, -3.4999988, 0.17075232
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 7.27275, -8.999998, 2.9009213
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 6.719626, -2.0000002, -0.13214462
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 6.962938, -7.9999948, 2.3011143
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 7.854373, -10.500004, 3.8402686
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 6.1153746, -2.9999993, -0.057507303
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 7.9967513, -9.5, 3.7141871
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 7.9241247, -8.499996, 2.2146864
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 8.339997, -11.000006, 4.0541673
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 5.5943747, 0.0, 0.0
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 6.791812, -2.9999993, -0.13711697
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 5.2308135, -0.5, -0.10334354
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 7.385625, -3.4999988, -0.023534585
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 7.195187, -7.9999948, 2.5383356
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.8125, 7.08375, -9.5, 3.3977995
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 5.792564, -2.0000002, -0.20237571
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 9.145876, -5.9999967, 1.0410354
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 6.7642493, -2.4999998, -0.11592115
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6, 7.6423335, -8.999998, 2.8375497
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5714286, 9.797856, -6.499996, 1.1635373
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 7.384375, -10.500004, 4.317741
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 7.698626, -8.499996, 2.4789166
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 1.0, 15.345, -1.5000002, -0.17298591
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6666667, 7.5997357, -2.4999998, -0.17765497
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.25, 5.5550623, -2.0000002, -0.22174628
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.625, 6.3931246, -6.499996, 1.3797892
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.375, 7.0401893, -8.499996, 2.5498877
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.6875, 5.696375, -3.4999988, 0.058266282
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.75, 8.237187, -9.5, 2.9620454
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5625, 5.5416245, -2.0000002, -0.19346347
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.71428573, 9.089286, -5.499997, 1.192734
22.0, 0.025, 1.0, 3.0, 0.1, 0.1, 0.5, 6.606312, -0.5, -0.12396371
