TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.336, -1.0000001, -0.265663
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.148002
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.22576772
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.531, -1.0000001, -0.19783771
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.12365947
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.45350146
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.386, -1.0000001, -0.39405924
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.19897777
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.5070605
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.2112271
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.50701314
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.16042149
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.41, -1.0000001, -0.39843455
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.13435462
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.404, -1.0000001, -0.117521994
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.4275686
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.62639165
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.26215276
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.22241072
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.40901363
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 6.697, -0.5, -0.25562513
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.549363
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.459, -1.0000001, -0.5040384
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.7594482
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.482, -1.0000001, -0.49585608
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 6.819, -0.5, -0.31432503
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.3945664
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.1592271
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.393, -1.0000001, -0.4224556
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.29914746
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.6447208
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.27890196
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.16184089
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.53791654
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.413, -1.0000001, -0.5471588
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.1483843
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.36852342
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.023061741
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.36550963
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.35516268
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.48805964
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.5548834
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.6142401
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.096466154
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.13738525
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.051644277
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.4284095
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 6.675, -0.5, -0.2948926
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 8.025, -1.5000002, -0.6862537
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.15482482
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.38778505
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.5582697
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.21223721
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.48851758
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.10879806
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.325, -1.0000001, -0.13909595
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.975, -1.5000002, -0.49438074
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.399, -1.0000001, -0.36576718
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.5279154
30.0, 0.025, 3.0, 1.0, 0.1, 0.1, 1.0, 7.375, -1.0000001, -0.4414731
