TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 2.0, -1.0, 1.0, 1.0, 2.0, 0.33333334, 5.5750003
20.0, 2.0, -1.0, 1.0, 1.0, 5.0, 0.6666667, 5.5696664
20.0, 2.0, -1.0, 1.0, 1.0, 10.0, 1.0, 5.5916667
20.0, 2.0, -1.0, 1.0, 2.0, 1.0, 1.0, 5.5796666
20.0, 2.0, -1.0, 1.0, 2.0, 2.0, 1.0, 5.5916667
20.0, 2.0, -1.0, 1.0, 2.0, 5.0, 0.0, 5.591667
20.0, 2.0, -1.0, 1.0, 2.0, 10.0, 0.33333334, 5.5763335
20.0, 2.0, -1.0, 1.0, 5.0, 1.0, 0.33333334, 6.225
20.0, 2.0, -1.0, 1.0, 5.0, 2.0, 0.33333334, 5.5609994
20.0, 2.0, -1.0, 1.0, 5.0, 5.0, 1.0, 5.6006675
20.0, 2.0, -1.0, 1.0, 5.0, 10.0, 0.6666667, 5.5750003
20.0, 2.0, -1.0, 1.0, 10.0, 1.0, 0.0, 5.558334
20.0, 2.0, -1.0, 1.0, 10.0, 2.0, 0.6666667, 5.591667
20.0, 2.0, -1.0, 1.0, 10.0, 5.0, 0.6666667, 5.5750003
20.0, 2.0, -1.0, 1.0, 10.0, 10.0, 0.33333334, 5.6053333
20.0, 2.0, -1.0, 2.0, 1.0, 1.0, 0.33333334, 5.5749993
20.0, 2.0, -1.0, 2.0, 1.0, 2.0, 0.6666667, 5.805666
20.0, 2.0, -1.0, 2.0, 1.0, 5.0, 1.0, 5.5886664
20.0, 2.0, -1.0, 2.0, 1.0, 10.0, 0.6666667, 5.5750003
20.0, 2.0, -1.0, 2.0, 2.0, 1.0, 0.0, 5.575333
20.0, 2.0, -1.0, 2.0, 2.0, 2.0, 0.6666667, 5.632
20.0, 2.0, -1.0, 2.0, 2.0, 5.0, 0.0, 7.028333
20.0, 2.0, -1.0, 2.0, 2.0, 10.0, 0.33333334, 5.558333
20.0, 2.0, -1.0, 2.0, 5.0, 1.0, 0.0, 5.808333
20.0, 2.0, -1.0, 2.0, 5.0, 2.0, 0.33333334, 6.0113335
20.0, 2.0, -1.0, 2.0, 5.0, 5.0, 0.6666667, 5.817
20.0, 2.0, -1.0, 2.0, 5.0, 10.0, 0.33333334, 5.802667
20.0, 2.0, -1.0, 2.0, 10.0, 1.0, 0.33333334, 5.591667
20.0, 2.0, -1.0, 2.0, 10.0, 2.0, 0.33333334, 5.591667
20.0, 2.0, -1.0, 2.0, 10.0, 5.0, 0.0, 5.615667
20.0, 2.0, -1.0, 2.0, 10.0, 10.0, 1.0, 5.581667
20.0, 2.0, -1.0, 3.0, 1.0, 1.0, 0.0, 5.565333
20.0, 2.0, -1.0, 3.0, 1.0, 2.0, 1.0, 5.616667
20.0, 2.0, -1.0, 3.0, 1.0, 5.0, 0.33333334, 5.558334
20.0, 2.0, -1.0, 3.0, 1.0, 10.0, 0.0, 5.570667
20.0, 2.0, -1.0, 3.0, 2.0, 1.0, 1.0, 5.5750003
20.0, 2.0, -1.0, 3.0, 2.0, 2.0, 0.0, 7.263333
20.0, 2.0, -1.0, 3.0, 2.0, 5.0, 0.6666667, 5.647333
20.0, 2.0, -1.0, 3.0, 2.0, 10.0, 0.0, 5.838001
20.0, 2.0, -1.0, 3.0, 5.0, 1.0, 0.0, 5.582667
20.0, 2.0, -1.0, 3.0, 5.0, 2.0, 1.0, 5.558334
20.0, 2.0, -1.0, 3.0, 5.0, 5.0, 0.0, 5.5990005
20.0, 2.0, -1.0, 3.0, 5.0, 10.0, 0.33333334, 6.032
20.0, 2.0, -1.0, 3.0, 10.0, 1.0, 0.0, 5.558333
20.0, 2.0, -1.0, 3.0, 10.0, 2.0, 0.33333334, 5.558334
20.0, 2.0, -1.0, 3.0, 10.0, 5.0, 0.33333334, 6.008333
20.0, 2.0, -1.0, 3.0, 10.0, 10.0, 0.33333334, 5.5750003
20.0, 2.0, -1.0, 4.0, 1.0, 1.0, 0.6666667, 9.255
20.0, 2.0, -1.0, 4.0, 1.0, 2.0, 0.6666667, 5.794
20.0, 2.0, -1.0, 4.0, 1.0, 5.0, 0.33333334, 5.547667
20.0, 2.0, -1.0, 4.0, 1.0, 10.0, 1.0, 9.268333
20.0, 2.0, -1.0, 4.0, 2.0, 1.0, 1.0, 5.5916667
20.0, 2.0, -1.0, 4.0, 2.0, 2.0, 0.33333334, 5.5750003
20.0, 2.0, -1.0, 4.0, 2.0, 5.0, 0.6666667, 5.5749993
20.0, 2.0, -1.0, 4.0, 2.0, 10.0, 0.6666667, 5.5750003
20.0, 2.0, -1.0, 4.0, 5.0, 1.0, 0.0, 5.604666
20.0, 2.0, -1.0, 4.0, 5.0, 2.0, 0.6666667, 5.573667
20.0, 2.0, -1.0, 4.0, 5.0, 5.0, 0.6666667, 5.559667
20.0, 2.0, -1.0, 4.0, 5.0, 10.0, 1.0, 5.5786667
20.0, 2.0, -1.0, 4.0, 10.0, 1.0, 0.6666667, 5.580666
20.0, 2.0, -1.0, 4.0, 10.0, 2.0, 0.0, 5.558333
20.0, 2.0, -1.0, 4.0, 10.0, 5.0, 0.0, 5.558333
20.0, 2.0, -1.0, 4.0, 10.0, 10.0, 0.0, 6.0123334
20.0, 2.0, -1.5, 1.0, 1.0, 1.0, 0.6666667, 5.5546665
20.0, 2.0, -1.5, 1.0, 1.0, 2.0, 0.0, 6.008333
20.0, 2.0, -1.5, 1.0, 1.0, 5.0, 1.0, 17.801666
