TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.65475, -16.000025, -1.8594546
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.23825, -21.500046, -0.57412946
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.809936, -17.000029, -1.8395963
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.758125, -17.000029, -0.38740078
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.632501, -16.000025, -0.53304434
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.6085005, -16.000025, -1.9697673
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.242623, -22.000048, -1.0800501
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.655936, -16.000025, -2.3909018
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.803187, -18.000032, 1.4743174
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.72825, -16.500027, -2.9526958
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.679748, -16.500027, -1.1209075
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.001873, -19.500038, -0.26642796
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.425314, -24.000055, 0.33312082
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.044439, -20.00004, 1.6439235
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.346939, -23.500053, -2.8916519
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.679501, -16.000025, 1.2652442
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.689437, -17.000029, -2.497244
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.27675, -22.50005, -2.4012241
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.876062, -18.500034, -2.4308584
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.829752, -18.000032, -0.39271545
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.367876, -23.500053, 1.8977721
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.831874, -17.50003, -1.9510802
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.921439, -18.500034, -0.8274186
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.6328125, -16.000025, -0.94282305
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.642751, -16.000025, -0.20101057
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.027062, -19.500038, 0.25873125
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.946499, -19.000036, -0.33215687
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.628875, -16.000025, -0.66129
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.880688, -18.500034, -1.5116707
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.6311245, -16.000025, -0.9280841
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.701188, -16.500027, -4.812781
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.587061, -16.000025, -0.9933137
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.620873, -16.000025, -0.32520676
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.66825, -16.000025, 0.5395812
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.7646885, -17.000029, -1.7746568
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.787563, -17.000029, -2.6690502
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.720375, -16.500027, -1.1113787
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.851062, -17.50003, -0.25100067
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.605501, -16.000025, -1.6719999
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.674313, -16.500027, -3.4196658
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.813252, -17.50003, 0.9043941
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.680124, -16.000025, -1.4587685
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.083251, -20.500042, 1.2806543
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.90325, -18.500034, -0.4415302
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.571437, -16.000025, 0.5370962
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.656439, -16.000025, -2.3115149
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.762627, -17.50003, 0.12534341
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.656375, -16.000025, -1.2461244
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.673125, -16.000025, -1.071754
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.802691, -17.50003, -1.1490896
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.750937, -17.000029, -0.020999331
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.708873, -16.500027, -0.7234885
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.582748, -16.000025, -2.3118515
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.789001, -17.50003, -1.0001086
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 9.625875, -16.000025, -1.0945922
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.142062, -21.000044, 2.240891
28.0, 0.025, 4.0, 1.0, 0.1, 0.1, 1.0, 10.142061, -21.000044, -0.29451525
