TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.60638, -51.499786, 7.6041765
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 27.908314, -53.499756, 7.622649
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 26.160816, -48.499832, 7.794815
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 27.914059, -42.499924, 8.298262
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 29.598877, -55.999718, 9.839327
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 26.772684, -47.499847, 5.912322
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5, 26.512314, -43.9999, 4.574482
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 24.781815, -41.99993, 5.8996634
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.136124, -46.499863, 5.963638
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 29.223375, -55.499725, 10.855633
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 25.976622, -42.499924, 5.0933948
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5, 22.915186, -34.500046, 1.5851585
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 27.768066, -56.49971, 12.740057
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 30.941439, -65.999565, 13.432244
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.375, 23.287313, -37.999992, 2.73833
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.246815, -56.999702, 11.247296
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 28.600313, -53.99975, 7.904872
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5, 27.2135, -46.499863, 6.9734726
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 30.117498, -54.49974, 6.7502084
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.9375, 31.799255, -62.99961, 10.23094
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 26.668001, -48.999825, 6.8439555
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 31.366438, -73.49945, 16.525196
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 30.442625, -56.999702, 10.737422
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 25.516497, -37.999992, 4.5457916
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.585308, -52.999763, 6.55895
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.679188, -57.499695, 11.705465
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.274939, -48.499832, 4.4322534
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 26.866817, -43.9999, 7.2160554
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 27.597813, -53.99975, 9.281609
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 26.466251, -51.499786, 11.0038805
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 27.697807, -52.999763, 9.532058
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.876686, -55.499725, 9.415251
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.371565, -45.99987, 7.1748757
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.684063, -53.99975, 9.466784
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 30.065125, -63.999596, 13.852954
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.4375, 24.682749, -44.499893, 6.3340836
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.820566, -54.999733, 8.42333
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.4375, 24.317188, -40.499954, 4.5309205
36.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 28.6795, -50.999794, 6.631413
