TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 11.945375, -16.000025, -1.958063
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 12.806624, -17.50003, 0.098401815
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.3125, 9.238935, -7.9999948, -1.2650648
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 10.742622, -7.9999948, -1.3524274
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.1875, 9.453312, -10.000002, -1.5310605
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 11.652438, -13.000013, -0.11832698
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 11.123624, -11.500008, -2.0736818
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.4375, 9.612001, -12.00001, -1.096343
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5, 11.015623, -10.500004, -1.6609024
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.4375, 10.651501, -10.500004, -0.5876757
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.625, 11.546311, -16.000025, -2.1022155
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.625, 13.373686, -19.000036, -0.10619721
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.625, 12.38131, -17.000029, -2.830187
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 9.983314, -15.500023, -1.4288453
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.25, 10.476127, -13.000013, -0.5458605
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5, 11.390937, -10.500004, -1.6315922
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.6875, 11.724687, -17.50003, -0.7759904
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.75, 13.484625, -16.000025, 0.9003024
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.75, 12.947874, -15.000021, -2.982809
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.3125, 10.409498, -12.500011, -1.9339751
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5, 11.6414995, -17.000029, -2.534453
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.125, 10.472626, -16.500027, -2.1011257
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 11.279562, -13.500015, -2.115542
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.3125, 11.653749, -17.50003, 0.5340121
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 11.519313, -11.500008, -0.8652555
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5625, 12.732812, -16.500027, -1.2848864
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.4375, 11.277373, -13.000013, -0.017104264
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 10.610624, -14.500019, -2.153689
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.25, 10.304125, -14.500019, -2.8325431
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 12.060688, -17.000029, 1.1221094
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.4375, 12.030125, -17.50003, -1.212895
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.625, 11.992252, -12.500011, -2.593573
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 12.053873, -17.50003, -1.4555528
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.5, 11.787125, -14.500019, -1.4958901
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.6875, 13.1050005, -16.000025, -0.04582068
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.4375, 10.540813, -13.500015, -1.4416274
24.0, 0.025, 3.0, 2.0, 0.1, 0.1, 0.375, 10.033375, -8.499996, -1.6601038
