TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.1875, 17.820501, -21.000044, -2.721362
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.25, 18.05487, -20.500042, -2.9125013
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 19.409374, -22.50005, -2.0426664
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5, 22.068434, -22.000048, 2.19932
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.4375, 17.62531, -20.00004, -1.113788
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.25, 19.566248, -24.000055, -2.2740352
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5625, 23.22219, -29.500076, -0.71799964
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.375, 20.647373, -26.500065, 0.2138948
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.1875, 19.615437, -24.500057, -1.8517187
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 20.759937, -24.500057, 0.8007548
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5625, 20.435625, -21.500046, -2.6500895
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 21.85944, -28.500072, -2.0854921
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5, 19.37825, -22.000048, 1.0206637
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 20.570501, -26.500065, 0.091424465
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 20.51544, -26.000063, -1.7261894
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.375, 20.238062, -23.000051, -0.24391715
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.25, 20.642372, -23.500053, -2.0050986
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5625, 21.894814, -24.000055, -1.2405295
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5, 21.342936, -23.000051, -3.821731
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.4375, 19.74725, -21.500046, -1.993448
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.0, 18.160252, -22.000048, -3.2583826
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.375, 23.887873, -36.500015, 3.220013
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.3125, 18.514193, -21.000044, -1.3079214
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.1875, 18.639935, -18.000032, -1.3236223
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.4375, 21.156565, -21.000044, -4.2681637
28.0, 0.025, 4.0, 4.0, 0.1, 0.1, 0.5, 22.147316, -27.000067, 0.21379958
