TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.116063, -10.500004, 0.5359558
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.5355015, -15.000021, 1.68054
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.44825, -14.000017, 1.2421005
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.933374, -8.999998, 0.3493289
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.977001, -9.5, 0.56291
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.635375, -16.000025, 1.3924192
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.817688, -7.9999948, -0.08986555
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.392937, -13.500015, 1.0635204
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.4817505, -14.500019, 1.894099
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.210439, -11.500008, 0.42314976
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.196186, -11.000006, 0.43797395
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.862688, -7.9999948, 0.06793648
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.577375, -16.000025, 1.7791408
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.275874, -12.500011, 0.98475826
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.655, -16.000025, 1.2451845
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.0981245, -10.500004, 0.9073649
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.324189, -12.500011, 0.46704894
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.060939, -10.000002, 0.23127477
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.591313, -16.000025, 1.1054074
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.462687, -14.500019, 1.6669092
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.864627, -7.9999948, 0.30910966
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.545312, -15.500023, 1.5962074
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.891563, -7.9999948, 0.13399754
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.532063, -15.000021, 1.5292228
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.638939, -16.000025, 2.2537951
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.068001, -10.000002, 0.72523427
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.596749, -15.500023, 1.8231514
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.452937, -14.500019, 1.3899555
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.555874, -15.500023, 1.241259
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.616565, -16.000025, 1.8507801
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.626751, -16.000025, 1.1391003
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.624687, -16.000025, 1.7831954
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.60875, -16.000025, 2.0459266
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.630438, -16.000025, 2.3176513
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.234753, -11.500008, 0.3917085
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.646751, -16.000025, 1.3371108
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.363064, -13.500015, 1.0835885
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.850562, -7.9999948, 0.23680599
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.599062, -16.000025, 1.7886614
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.597498, -16.000025, 1.0153697
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.644312, -16.000025, 2.0995429
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.200126, -11.000006, 0.44344547
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.237563, -12.00001, 1.2140238
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.150626, -11.000006, 0.92345876
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.603689, -16.000025, 2.1718512
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.206749, -11.500008, 0.57668364
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.65731, -16.000025, 1.9800473
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.581875, -15.500023, 1.6511837
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.601377, -16.000025, 1.8018103
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.506124, -14.500019, 1.3655928
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.922062, -8.499996, 0.055674024
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.862312, -7.9999948, 0.06470594
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.144375, -11.000006, 0.19834746
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.603749, -16.000025, 1.7910193
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.116313, -10.500004, 0.5995883
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.623187, -16.000025, 2.618427
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.458, -14.000017, 1.526169
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.545001, -15.500023, 1.7378659
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.660189, -16.000025, 1.9848328
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.243125, -11.500008, 0.39532098
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.878313, -8.499996, 0.250212
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.652188, -16.000025, 2.0519207
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.276812, -12.00001, 0.70171726
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.3568125, -13.000013, 1.0056151
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.272812, -12.00001, 1.2519101
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.485937, -14.500019, 1.6584095
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.592062, -15.500023, 1.4337231
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.238064, -11.500008, 0.18380226
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.358624, -13.000013, 1.1934633
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.252752, -12.00001, 0.7382694
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.512376, -14.500019, 1.4823033
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.619001, -15.500023, 2.0812564
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.886062, -8.499996, 0.049632948
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.660814, -16.000025, 2.0503123
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.550124, -15.000021, 1.5443001
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.569437, -15.500023, 1.004627
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 8.929563, -8.999998, 0.6259781
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.117813, -10.500004, 0.77233154
24.0, 0.025, 1.0, 1.0, 0.1, 0.1, 1.0, 9.280313, -12.00001, 0.5808456
