TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 17.834435, -29.500076, 1.0728301
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 19.495937, -31.000082, 4.0882144
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 20.353811, -36.500015, 5.653841
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 20.604937, -37.999992, 4.851478
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 19.41794, -34.000053, 2.9581106
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 20.548754, -33.50006, 2.12771
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 22.195627, -35.50003, 1.8076986
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 18.465878, -20.500042, -0.48756334
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 20.900934, -41.49994, 6.6494823
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 21.383123, -37.5, 1.4276793
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 21.56775, -32.500076, 2.0736008
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 22.002996, -41.49994, 5.0802355
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 20.128626, -37.5, 3.5296195
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 21.73613, -42.499924, 5.299657
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 21.587687, -40.499954, 6.130783
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 19.742378, -30.000078, -1.3463115
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 21.513685, -39.49997, 5.9109106
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 19.417559, -37.5, 5.58845
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 20.274939, -35.00004, 3.5133145
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.3125, 15.069685, -24.500057, 1.3579214
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 21.872559, -35.50003, 3.5976613
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 20.190378, -34.000053, 2.3766549
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 18.73444, -34.500046, 0.77828497
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 19.424126, -30.50008, 0.90486693
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 21.287376, -37.5, 3.0209455
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 18.976627, -29.500076, 2.2396986
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 19.722378, -37.5, 5.4429007
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 19.306747, -36.000023, 5.3436575
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 20.824, -40.499954, 5.3595204
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 19.186312, -31.500084, 2.1401343
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 21.187122, -36.000023, 1.9126127
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 18.039063, -31.000082, 4.1008005
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 22.105314, -37.999992, 3.3614457
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 20.4575, -36.500015, 5.101112
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 18.671375, -26.500065, 2.7110517
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5, 18.110182, -32.500076, 3.0124848
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 19.525188, -31.000082, 2.270075
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 21.82594, -42.499924, 4.4157605
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 21.078873, -42.999916, 7.10304
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 17.947372, -30.50008, 2.289127
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 17.957998, -31.000082, 3.1126237
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 20.270247, -38.999977, 5.062005
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 19.635937, -32.500076, 3.203826
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 20.357185, -32.500076, 3.0252783
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 20.97275, -37.5, 3.362781
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.75, 20.67194, -34.000053, 4.4743137
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 18.036247, -31.500084, 2.903239
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.5625, 19.236942, -32.500076, 1.6524237
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 19.551685, -35.50003, 3.7227004
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.375, 16.479813, -31.500084, 2.4104686
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 17.868252, -30.50008, 3.70431
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.6875, 20.184624, -30.50008, 2.3506646
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 21.989126, -37.000008, 1.4056901
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.8125, 22.484371, -37.999992, 8.812892
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.4375, 17.118935, -30.50008, 1.1600586
32.0, 0.025, 3.0, 3.0, 0.1, 0.1, 0.625, 20.041935, -39.99996, 4.046855
