TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 11.008689, -29.500076, 3.6861014
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.784374, -28.00007, 4.1029506
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.795752, -27.500069, 3.871242
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.492812, -24.500057, 2.9688013
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.494249, -25.00006, 3.9034445
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 11.104001, -30.50008, 4.8014746
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.454313, -24.500057, 2.1026597
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.550313, -25.00006, 2.6644497
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.517312, -24.500057, 4.3088746
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.999, -19.500038, 0.9831032
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.656061, -26.000063, 3.2166038
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.83975, -28.00007, 4.626834
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.563751, -25.500061, 3.2751052
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.874186, -28.00007, 5.0504127
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.5905, -26.000063, 2.4774697
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.598563, -25.500061, 5.057078
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.546187, -25.00006, 2.2499473
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.472313, -24.500057, 1.9768752
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.626437, -26.000063, 2.3863618
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.755628, -26.500065, 4.7949653
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.651686, -26.000063, 4.258315
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.292064, -22.50005, 1.8216479
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.745372, -27.000067, 3.6111867
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.659562, -26.500065, 4.53062
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.963748, -29.500076, 5.497766
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.419999, -23.500053, 2.9703357
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.460311, -24.500057, 2.962499
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.596249, -25.500061, 3.9937603
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.687623, -26.500065, 3.2810388
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.345562, -23.000051, 3.3219593
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.689251, -25.500061, 1.0892433
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.714124, -26.500065, 4.0152144
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.627127, -25.500061, 4.8889723
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.629561, -25.500061, 4.355446
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.273814, -22.50005, 2.3628798
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.655875, -26.000063, 2.6716251
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.854249, -28.500072, 4.370555
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.313936, -22.50005, 2.8491654
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.527437, -24.500057, 2.9856114
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.453314, -24.000055, 1.5698884
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.087313, -20.500042, 2.9501517
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.608126, -25.500061, 3.7099655
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.487499, -24.500057, 3.7078488
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.623749, -25.500061, 3.5780907
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.760502, -27.000067, 4.8445477
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.351877, -23.000051, 1.8183988
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.913814, -29.000074, 4.830052
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.19875, -22.000048, 2.3622732
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.358001, -23.500053, 2.6483543
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.677189, -26.500065, 4.049811
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.407374, -24.000055, 3.3418977
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.598061, -25.500061, 3.7772121
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.532624, -25.00006, 1.9504302
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.620936, -25.500061, 3.2770777
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.955126, -28.500072, 5.2521353
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.745625, -26.500065, 5.597787
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.485062, -24.000055, 2.9260504
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.369876, -24.000055, 2.7246807
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.444937, -24.000055, 2.631561
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.79825, -27.500069, 3.446222
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.552248, -25.00006, 4.047393
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.875189, -28.00007, 4.4402285
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 11.099625, -30.50008, 4.066548
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.351002, -23.000051, 3.2978191
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.501249, -25.00006, 5.21972
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 11.431687, -33.50006, 6.7325487
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.313375, -22.50005, 2.888802
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.924128, -29.000074, 3.2737644
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.971064, -19.000036, 2.3220148
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 11.134312, -30.50008, 4.950871
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.435561, -24.000055, 3.5318909
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.666815, -26.000063, 4.2105136
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.986127, -29.500076, 4.2645507
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.3636265, -23.500053, 2.6953506
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.070561, -20.00004, 1.2422491
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.410875, -24.000055, 1.8119067
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.601501, -26.000063, 5.146554
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.383126, -23.500053, 3.0613759
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.49275, -24.500057, 0.97996384
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.479437, -24.000055, 3.4352417
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.882562, -28.500072, 4.7108254
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.478376, -24.500057, 2.5986392
32.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 10.586124, -25.500061, 2.5210297
