Subject	ChooseA	AvoidB	TotalAcc	RT_Train	RT_Test	Train_length	RAPM	OS_Score	OS_Total
10141	0.875	0.5	0.6875	967.46	1145.92	120	22	59	70
10142	0.9375	0.9375	0.9375	1135.58	1243.85	20	20	63	68
10143	0.5625	0.4375	0.5	1234.73	1356.45	80	22		
10144	0.8125	0.9375	0.875	774.73	984.02	120	21	34	59
10145	0.875	0.75	0.8125	1804.57	1664.10	40	22	28	51
10146	0.5625	0.625	0.59375	2380.80	2239.07	20	30		
10147	1	0.125	0.5625	1036.76	890.15	120	28	40	52
10148	0.75	0.125	0.4375	1480.71	1010.23	120	16	68	74
10149	0.625	0.5625	0.59375	2083.10	1305.43	20	27	68	74
10150	0.5625	0.875	0.71875	1352.15	1850.63	20	26	68	72
10151	0.375	0.8125	0.59375	1235.05	1521.02	20	24	55	66
10152	0.375	1	0.6875	1078.72	1039.43	100	24	43	64
10153	0.75	0.3125	0.53125	1974.95	1487.32	20	26		
10154	0.6875	0.5	0.59375	2157.02	1925.65	20	27	28	53
10155	0.625	0.9375	0.78125	1456.27	1691.62	20	26	45	65
