Subject	ChooseA	AvoidB	TotalAcc	RT_Train	RT_Test	Train_length	RAPM	OS_Score	OS_Total
10001	0.8125	0.875	0.84375	494.79	902.07	120		37	58
10002	0.9375	0.875	0.90625	1006.02	871.50	20	28	55	65
10003	0.8125	0.75	0.78125	972.69	794.97	80	35	36	63
10004	0.625	0.5625	0.59375	988.63	1046.53	20	22	37	59
10005	0.5625	0.6875	0.625	773.79	752.42	120	26	68	74
10006	0.8125	0.75	0.78125	761.44	948.65	80			
10007	0.625	0.625	0.625	1462.73	652.47	60	23	45	56
10008	0.75	1	0.875	1968.88	2458.93	20	24	68	73
10009	1	1	1	1255.76	1156.55	40	26	61	69
10010	0.875	0.625	0.75	709.99	1030.32	40	31	41	57
10011	0.5	0.875	0.6875	1235.37	1672.78	20	31	75	75
10012	0.5	0.6875	0.59375	1063.43	542.68	20	23	59	64
10013	0.6875	0.875	0.78125	912.69	676.48	40	31	22	39
10014	1	0.8125	0.90625	1067.09	1148.53	40	24	34	58
10015	0.75	0.6875	0.71875	1149.58	1631.22	20	27	41	62
10016	0.625	0.75	0.6875	775.37	751.58	120	29	23	44
10017	0.5625	0.625	0.59375	832.12	1076.02	20	30		
10018	0.0625	1	0.53125	1322.17	1564.20	20	30	68	72
10019	0.5625	0.5625	0.5625	1943.46	2169.43	40	25	43	69
10020	0.9375	0.8125	0.875	1015.43	1463.97	120	32	62	71
10021	1	0.25	0.625	1029.91	1646.97	120	26		
10022	0.0625	0.5	0.28125	1549.44	1397.67	120	28	41	62
10023	0.75	0.75	0.75	764.97	1014.52	20	28	62	72
10024	0.125	0.5625	0.34375	1364.35	1741.57	100	30	62	73
10025	0.625	0.5	0.5625	1311.46	1103.58	120	33		
10026	0.5	0.6875	0.59375	1008.19	1110.88	120	30	54	65
10027	1	0.625	0.8125	1181.42	1361.98	60	16	42	61
10028	0.4375	0.6875	0.5625	983.72	833.02	60	28	68	74
10029	0.6875	0.75	0.71875	725.23	719.80	120	23	34	52
10037	0.75	0.6875	0.71875	1325.08	1135.75	40	32	68	74
10038	1	0.5	0.75	958.34	733.70	120	27	43	63
10039	0.6875	0.5	0.59375	1971.00	2374.23	40	27	23	47
10040	0.625	0.6875	0.65625	637.23	778.37	120	34	47	57
10041	0.625	0.8125	0.71875	1309.27	1448.03	20	33	41	60
10042	0.8125	0.4375	0.625	1399.09	1050.25	100	30	50	62
10043	0	0.4375	0.21875	1647.53	1948.35	20		35	52
10045	1	0.9375	0.96875	1271.94	1689.57	60	21	48	60
10046	0.6875	0.4375	0.5625	1219.72	1336.60	60	21	33	58
10047	0.6875	0.3125	0.5	1325.70	1777.92	20	26	75	75
10048	0.375	0.4375	0.40625	472.61	546.67	120	16	10	25
10049	0.375	0.3125	0.34375	921.08	282.90	60	20		
10050	0.375	0.375	0.375	1286.08	1129.80	60	25	16	33
10051	0.625	0.8125	0.71875	940.50	1028.45	40	28	43	65
10052	0.875	0.6875	0.78125	1071.70	1129.30	20	19		
10053	0.9375	0.3125	0.625	2401.63	1699.18	40	18		
10054	1	0.5	0.75	1281.02	1127.30	20	22	42	57
10056	0.75	0.75	0.75	756.00	1177.20	80	23	36	57
10072	0.5625	1	0.78125	1347.97	2117.47	60	21	50	58
10073	1	1	1	1509.11	1381.80	40	29	75	75
10074	0.0625	0.3125	0.1875	1053.95	983.77	100	28	27	55
10075	0.8125	0.5	0.65625	1103.67	1537.33	40	24	49	61
10076	0.625	0.6875	0.65625	793.38	725.37	60	31	34	50
10082	1	0.5	0.75	2013.58	2246.25	20	16	39	61
10083	0.75	0.9375	0.84375	735.76	978.53	120	27	47	65
10084	1	0.75	0.875	900.16	1017.95	40	29	75	75
10085	1	0.625	0.8125	609.92	594.15	20	33	34	53
10088	0.5	0.5	0.5	417.52	232.23	120	21	49	63
10089	0.875	0.3125	0.59375	1192.44	1219.10	100	29		
10090	0.9375	0.875	0.90625	673.91	702.42	40	22		
10091	0.5	0.6875	0.59375	1637.83	1364.45	20	28		
10093	0.9375	0.3125	0.625	1026.38	891.37	40	17	68	73
10095	0.25	0.875	0.5625	984.28	1760.10	80	24	26	41
10097	0.8125	0.875	0.84375	468.31	753.67	120	27	41	58
10098	0.625	0.5	0.5625	1218.22	1832.73	60	34	64	64
10099	0.9375	0.5625	0.75	1308.02	1310.18	40	31	57	65
10101	0.9375	0.5625	0.75	1910.35	1848.82	20	26	75	75
10102	0.125	0.1875	0.15625	591.34	925.40	120	16	49	65
10103	0.9375	0.625	0.78125	829.07	811.07	60	27	50	59
10104	0.375	0.9375	0.65625	1396.73	1437.52	20	29	50	63
10106	0.75	0.25	0.5	1030.85	868.68	20	24	44	57
10107	0.4375	0.5625	0.5	756.72	1127.47	20	23	24	50
10108	0.9375	1	0.96875	1524.83	1329.65	80	21	48	61
10109	0.4375	0.75	0.59375	1134.45	484.33	20	20	48	65
10110	0.375	0	0.1875	677.38	535.62	120	10	11	35
10111	0.9375	0.8125	0.875	1364.48	1086.83	20	33	68	73
10112	1	1	1	1108.06	957.17	120	31	55	69
10113	0.75	0.625	0.6875	454.69	379.47	120	26		
10114	0.875	0.4375	0.65625	578.55	988.02	120	30	39	60
10115	0.5	0.625	0.5625	1566.83	1221.73	20	30	42	60
10116	0.6875	0.625	0.65625	1096.70	1371.12	20	35	56	69
10117	0.875	0.3125	0.59375	1408.00	910.27	60	14	42	63
10118	0.625	0.875	0.75	926.03	902.03	40	31	27	54
10119	0.6875	1	0.84375	515.24	932.68	120	23	75	75
10120	0.5625	0.9375	0.75	1093.52	1555.48	40	22		
10121	0.9375	0.625	0.78125	1403.47	1277.77	40	25	28	55
10122	1	0.8125	0.90625	997.82	1118.83	20	31	61	72
10123	0.875	0.875	0.875	1334.96	1868.42	60	31		
10124	0.625	0.9375	0.78125	1865.80	2012.17	80	23	45	61
10125	0.5	0.6875	0.59375	1767.83	1420.72	100	27	31	61
10126	0.5	0.9375	0.71875	901.85	1078.07	20	26		
10127	0.6875	1	0.84375	852.25	1338.92	20	26	55	70
10128	0.375	0.5	0.4375	1990.40	3056.88	60	15		
10129	0.9375	1	0.96875	1083.97	1049.05	20	30	75	75
10130	0.875	1	0.9375	1915.79	1799.38	40	33	75	75
10131	0.5625	0.6875	0.625	1517.29	1969.03	60	27	70	73
10132	0.9375	1	0.96875	1219.38	1523.60	40	30	36	56
10133	0.875	0.75	0.8125	474.37	782.40	20	34	51	64
10134	0.375	0.6875	0.53125	1246.12	1816.05	120	13	49	70
10135	1	1	1	1790.38	1319.18	40	29	52	65
10136	0.75	0.8125	0.78125	492.58	803.55	40	25	55	63
10137							29		
10138	0.6875	0.3125	0.5	1390.07	1374.22	20	22	61	68
10139	0.875	1	0.9375	1366.08	1496.25	60	28		
10140	0.3125	0.5625	0.4375	980.60	1002.13	20	22	45	62
