SN	Subject	BARAPM	RAPM	OverallAcc	ChooseA	AvoidB	RT	AB_trials	OS_Score	OS_Total	OS_MathErrors	OS_SpeedErrors	OS_Accuracy
1062	12815	6	18	0.84375	0.9375	0.75	1721.81	40	23	52	6	3	3
1063	12816	7	21	0.6875	0.6875	0.6875	1045.84	120					
1065	12817	2	6	0.65625	0.625	0.6875	826.67	60	30	49	7	1	6
1116	12818	6	18	0.59375	0.4375	0.75	1127.16	40	38	58	9	5	4
1117	12819	6	18	0.1875	0.3125	0.0625	1147.50	120	45	66	7	1	6
1118	12820	3	9	0.5625	0.375	0.75	745.45	120	55	62	4	0	4
1120	12821	6	18	0.8125	0.9375	0.6875	829.57	20	75	75	3	0	3
1121	12822	10	30	0.8125	0.6875	0.9375	972.82	120	75	75	4	0	4
1123	12823	4	12	0.78125	1	0.5625	959.01	120	48	61	2	1	1
1122	12824	1	3	0.9375	1	0.875	1528.55	20	34	60	10	2	8
1127	12825	4	12	0.46875	0.4375	0.5	836.20	120	36	57	4	0	4
1129	12826	4	12	0.84375	1	0.6875	565.91	120	48	66	4	1	3
1128	12827	9	27	0.5	0.25	0.75	1347.12	20	49	65	6	2	4
1139	12828	7	21	0.5	0.4375	0.5625	834.63	20	63	72	7	1	6
1140	12829	5	15	0.5	0.5625	0.4375	1196.38	20	63	73	12	8	4
1145	12830	3	9	0.5625	0.8125	0.3125	1177.52	100					
1148	12831	9	27	0.46875	0	0.9375	1831.33	20	49	65	4	1	3
1150	12832	4	12	0.5	0.5	0.5	1617.68	40	61	69	7	4	3
1151	14001	5	15	0.53125	0.4375	0.625	1815.58	20	65	71	5	1	4
1147	14002	6	18	0.8125	0.6875	0.9375	1052.88	20	50	59	3	0	2
