TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.558378, -44.999886, 9.372733
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 27.755814, -48.499832, 10.528496
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 23.538317, -33.50006, 6.0885057
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 27.765247, -41.99993, 9.724088
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 27.813313, -44.499893, 9.549001
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 27.711748, -45.499878, 9.432544
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.875, 29.771873, -53.499756, 11.937205
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 28.636623, -49.499817, 11.901752
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 27.647432, -40.499954, 8.086264
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.61144, -53.499756, 13.969975
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 27.145685, -50.4998, 11.463916
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 28.510818, -45.499878, 9.081572
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 25.82375, -40.999947, 8.0931835
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 30.22381, -57.999687, 13.268045
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 30.429876, -56.49971, 13.457637
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 26.759502, -47.499847, 10.672079
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 27.955374, -46.499863, 10.069631
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.9375, 30.74681, -55.499725, 13.4384365
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.875, 31.111126, -55.999718, 12.297181
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 24.916748, -32.000084, 5.0614457
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 29.287815, -52.999763, 11.643498
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 29.827562, -61.499634, 15.323002
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 27.527374, -46.999855, 10.886194
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.992876, -52.999763, 11.820023
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.14625, -44.499893, 8.627293
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 26.231316, -37.5, 7.635308
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 28.164312, -44.999886, 9.118411
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 25.67587, -43.49991, 9.208132
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 25.73175, -39.99996, 8.751837
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 28.272942, -38.999977, 8.364565
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 26.519058, -43.9999, 10.259498
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 29.002438, -45.99987, 10.279748
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 27.619314, -46.999855, 10.454641
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 28.330877, -46.499863, 10.620203
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 26.282377, -44.999886, 10.877366
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 27.417002, -44.499893, 10.35922
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.875, 30.892878, -57.499695, 13.468158
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 25.600878, -38.499985, 7.2305183
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 30.675125, -59.499664, 13.897496
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 26.640442, -41.99993, 9.573141
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 29.968561, -55.499725, 13.5696125
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 25.214499, -34.500046, 6.5289283
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 30.335815, -58.49968, 14.490671
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 26.620564, -44.999886, 10.369601
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 29.723564, -49.499817, 11.710482
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.682499, -50.4998, 12.47167
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 27.54625, -49.99981, 11.043883
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 29.195564, -54.999733, 13.347335
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.875, 29.018064, -48.999825, 11.172121
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 27.99481, -47.499847, 10.73263
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 29.239185, -54.999733, 12.71736
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 27.519314, -39.49997, 8.235
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 25.447187, -43.49991, 9.510153
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.875, 29.175188, -47.499847, 11.414365
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 28.027061, -43.9999, 10.445882
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 27.64944, -43.9999, 9.050701
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 29.28287, -59.999657, 14.360423
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 27.42731, -49.499817, 10.285899
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 28.018063, -47.499847, 12.049985
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 1.0, 30.11075, -49.499817, 10.562297
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 26.229, -44.999886, 9.977079
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 27.411318, -49.499817, 11.870738
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 28.112127, -48.499832, 11.786078
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 28.416813, -51.499786, 10.960901
35.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 27.66737, -48.499832, 10.484437
