TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 25.316563, -39.49997, 4.062335
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5, 26.956062, -52.49977, 6.9580574
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.553812, -46.499863, 6.284785
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.015743, -53.99975, 12.5748205
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.050188, -51.499786, 9.320547
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 23.784311, -43.49991, 5.3605537
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.25431, -55.999718, 9.184472
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 27.228004, -43.9999, 6.0766683
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 24.633816, -36.000023, 2.8149319
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.125877, -48.999825, 8.695243
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 23.137623, -36.500015, 2.7228568
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.9375, 28.842686, -54.999733, 7.6504993
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 25.980185, -42.999916, 8.485387
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5, 28.198185, -48.999825, 7.950009
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.875, 29.980879, -55.999718, 8.338349
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.875, 30.126877, -65.49957, 13.936844
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.33, -56.999702, 10.337076
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 28.177439, -45.499878, 6.20891
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.875, 30.77031, -56.999702, 7.1218753
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 28.29006, -50.999794, 6.9901824
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 25.97019, -46.499863, 4.5591526
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 26.626245, -47.99984, 8.486928
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 27.348186, -44.499893, 6.9156585
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.5625, 26.522814, -44.499893, 6.7325397
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.875, 29.421314, -57.999687, 7.865701
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 27.998312, -43.49991, 7.1056156
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.4375, 25.4425, -40.999947, 2.2791927
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.4375, 25.060438, -40.499954, 5.2991
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 29.088623, -51.499786, 7.902291
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 28.635998, -53.499756, 10.396938
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.3125, 23.338623, -35.00004, 4.203126
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.375, 25.100935, -40.999947, 4.4514475
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.8125, 28.041372, -50.999794, 8.496532
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 30.404497, -63.499603, 11.025393
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 29.535378, -62.49962, 13.806118
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.448, -53.499756, 9.7931595
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 26.751244, -42.999916, 4.1052628
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 25.509813, -41.99993, 5.4708724
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.9375, 32.717506, -70.99949, 12.171904
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.875, 29.553371, -58.999672, 14.943528
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.625, 27.795933, -49.499817, 7.635269
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.798872, -49.499817, 6.5329814
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 27.75138, -52.49977, 7.1816735
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.75, 28.294186, -50.999794, 8.854023
35.0, 0.025, 3.0, 4.0, 0.1, 0.1, 0.6875, 25.716501, -43.49991, 8.052313
