TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.490062, -14.500019, 0.10524469
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.600874, -15.500023, 0.7318841
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.63, -16.000025, 0.7880143
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.473999, -14.500019, 0.7916585
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.589, -16.000025, 1.0813043
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.621689, -16.000025, 0.59882265
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.557062, -14.500019, -0.08388166
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.623437, -16.000025, 0.047618132
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.632938, -16.000025, 1.6332033
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.63, -16.000025, -0.087118156
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.619123, -16.000025, 0.56947684
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.598626, -16.000025, 0.98198485
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.331876, -13.000013, 0.04818482
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.244685, -12.00001, 0.5106413
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.6501255, -16.000025, 0.07063403
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.5232525, -14.500019, 1.8740284
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.627313, -16.000025, 0.08745851
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.63425, -16.000025, -0.2941625
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.660001, -16.000025, -0.041107886
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.634375, -16.000025, 1.2464919
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.5513115, -15.000021, 1.094927
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.341876, -12.500011, -0.3254633
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.654125, -16.000025, 0.5383063
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.3637495, -13.500015, 0.24466866
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.650437, -16.000025, 1.4914424
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.610375, -16.000025, 1.2490617
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 8.881938, -8.499996, -0.69134414
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.607999, -16.000025, 0.96391904
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.637812, -16.000025, 0.53762585
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.650812, -16.000025, 1.240009
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.650375, -16.000025, -0.9007507
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.285251, -12.500011, 0.66978186
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 8.965062, -8.999998, -0.32752374
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.505063, -14.500019, 1.0926352
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.611624, -16.000025, 0.4986635
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.142185, -11.000006, -0.58116096
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.215185, -11.500008, 0.22682974
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.639876, -16.000025, 0.96442
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.823001, -18.000032, 1.5615894
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.638438, -16.000025, -0.3050767
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.424563, -14.000017, 0.8961637
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.60769, -15.500023, 0.8021379
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.633626, -16.000025, 1.0974389
25.0, 0.025, 2.0, 1.0, 0.1, 0.1, 1.0, 9.6276865, -16.000025, 0.742907
