TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 10.9453125, -10.000002, -1.1431543
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 15.27406, -11.500008, 0.0869612
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 11.13775, -7.9999948, -0.25482938
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 17.031067, -17.50003, 0.3000091
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.1875, 14.130686, -15.000021, 0.11103994
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 12.841877, -9.5, -1.1905947
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.125, 12.204122, -11.000006, -1.0642846
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.5, 16.318563, -14.000017, -0.29196143
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 11.555939, -8.499996, -0.15404768
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 13.912627, -8.999998, -1.9105222
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.25, 11.874376, -7.9999948, -1.0434211
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.625, 14.345311, -13.000013, -0.41764632
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.1875, 11.122127, -7.9999948, -1.1609802
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 12.660875, -7.9999948, -0.7739717
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 10.037688, -7.9999948, -0.54946697
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 13.471313, -8.499996, -1.9853786
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 12.314877, -7.9999948, -0.8154224
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.25, 10.734125, -7.9999948, -0.45510548
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 10.837061, -8.499996, -1.4131061
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.25, 9.984623, -7.9999948, -0.93568456
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 13.882124, -12.500011, -0.4094087
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.25, 12.286873, -7.9999948, -1.3048242
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 11.6495, -8.999998, -1.5485184
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.3125, 13.661126, -10.000002, -0.93295217
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.375, 13.643749, -10.500004, -1.0006027
22.0, 0.025, 2.0, 3.0, 0.1, 0.1, 0.4375, 16.211193, -17.50003, 0.5190434
