TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 22.03025, -22.50005, 2.3741558
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 23.322815, -31.000082, 5.2102833
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 20.03981, -25.500061, 3.7243993
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 26.0095, -36.000023, 8.301849
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 27.548935, -39.49997, 8.381356
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 24.307566, -33.50006, 4.9287453
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 23.74569, -31.500084, 5.714538
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 23.788189, -31.500084, 6.211602
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 24.278751, -33.00007, 5.4931316
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 23.376999, -28.00007, 4.6826715
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 25.192314, -31.500084, 5.5032167
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 21.61113, -25.500061, 2.8668487
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 20.848812, -22.000048, 3.3914282
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.25, 20.718187, -31.000082, 5.653202
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 24.1555, -31.500084, 5.2375727
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 18.890123, -21.000044, 2.6981404
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 25.31869, -36.500015, 6.099551
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 24.990627, -32.500076, 5.333439
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 24.763876, -26.000063, 3.488547
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 22.651999, -25.00006, 3.621674
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 22.188, -23.500053, 2.508397
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 19.578749, -23.500053, 3.5605009
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 26.085938, -36.000023, 6.8290925
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 21.588251, -24.500057, 3.5953858
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.8125, 26.809753, -36.500015, 6.373915
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.75, 26.311312, -35.00004, 6.975517
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.25, 23.936497, -29.500076, 4.5069795
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 21.512186, -28.500072, 4.3736014
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 24.485247, -27.500069, 4.0010104
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 22.524815, -22.50005, 3.2807353
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 22.507061, -31.000082, 5.6898174
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 20.775064, -20.500042, 2.5035694
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 21.047312, -23.500053, 3.393914
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 18.970686, -21.500046, 2.7805052
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 17.769316, -20.500042, 3.213191
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 23.070877, -32.000084, 5.630152
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 19.73769, -22.000048, 2.7199814
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 23.094812, -29.000074, 4.455883
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.625, 24.814255, -31.000082, 4.8086586
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 24.047943, -26.500065, 5.1510353
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 24.796625, -30.000078, 4.4424715
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 21.594995, -21.000044, 2.0662584
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.6875, 23.674627, -26.000063, 3.6473482
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 24.299065, -33.00007, 6.983479
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.25, 20.507498, -21.500046, 3.1131804
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 22.48044, -31.000082, 5.1590323
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.25, 20.012371, -21.000044, 2.2312262
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 23.287683, -23.500053, 3.2389042
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5, 22.868372, -30.000078, 3.8531117
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 23.119314, -28.500072, 4.45276
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 25.141375, -30.000078, 4.6323295
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.375, 19.270622, -24.500057, 4.200967
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 23.426125, -32.000084, 5.035521
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 24.91381, -31.500084, 5.3695235
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.3125, 21.980936, -29.000074, 4.9581842
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.4375, 22.586943, -31.000082, 5.0754247
30.0, 0.025, 1.0, 4.0, 0.1, 0.1, 0.5625, 24.43463, -31.500084, 4.862885
