TICKS, ALPHA, INIT-VALUE-UPPR-BOUND, FEATURES, D1, D2, ACCURACY, PROBLEM-RT, REWARD-BOLD, RPE-BOLD
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.375, 11.905189, -19.000036, -2.796419
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.875, 15.927501, -37.000008, 3.9849365
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.875, 16.61325, -39.99996, 6.175038
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.625, 16.244625, -46.999855, 7.379459
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.9375, 18.607748, -52.999763, 8.165805
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.5625, 14.013563, -33.50006, 4.096331
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.625, 14.672938, -36.000023, 1.3227441
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 17.479815, -48.999825, 6.8147416
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.875, 16.022123, -41.49994, 3.8048
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 16.513937, -39.49997, 6.188361
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.8125, 16.611876, -43.9999, 2.3356287
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 16.429, -41.49994, 5.2871985
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.8125, 16.956066, -43.9999, 0.49453312
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.625, 15.875189, -39.99996, 3.6834059
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.75, 15.675998, -37.999992, 4.9540815
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.6875, 16.866375, -46.499863, 4.7991323
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.4375, 13.395813, -30.50008, 1.1820858
35.0, 0.025, 4.0, 2.0, 0.1, 0.1, 0.8125, 16.881502, -38.499985, 7.8745832
